codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00085,00084,00086,00083,00090,00080,00081,00082,00087,00088,00089,00091
01,001,Comuna 01,5,120,0,0,5,256,17,2,3,4,0,0,0,0,0,0,0
01,013,Comuna 13,141,6064,0,0,4,244,27,1,7,4,0,0,0,0,0,0,0
01,013,Comuna 13,141,6074,0,0,6,239,22,8,7,6,3,0,0,0,0,0,0
01,014,Comuna 14,149,6458,0,0,1,239,30,4,3,3,2,0,0,0,0,0,0
01,013,Comuna 13,141,6026,0,0,4,238,27,9,6,5,2,0,0,0,0,0,0
01,002,Comuna 02,24,731,0,0,5,237,29,4,7,1,2,0,0,0,0,0,0
01,013,Comuna 13,141,6066,0,0,2,237,16,9,9,2,3,0,0,0,0,0,0
01,013,Comuna 13,141,6030,0,0,3,236,28,4,7,4,1,0,0,0,0,0,0
01,013,Comuna 13,141,6035,0,0,4,236,18,4,5,6,2,0,0,0,0,0,0
01,014,Comuna 14,149,6442,0,0,3,236,27,6,3,3,3,0,0,0,0,0,0
01,014,Comuna 14,149,6466,0,0,4,236,26,5,4,1,3,0,0,0,0,0,0
01,013,Comuna 13,141,6046,0,0,7,235,26,9,5,1,1,0,0,0,0,0,0
01,014,Comuna 14,149,6443,0,0,3,235,22,5,5,2,0,0,0,0,0,0,0
01,001,Comuna 01,5,145,0,0,7,234,22,6,3,4,1,0,0,0,0,0,0
01,013,Comuna 13,141,6065,0,0,4,234,24,6,5,6,2,0,0,0,0,0,0
01,014,Comuna 14,149,6465,0,0,6,234,21,4,2,4,2,0,0,0,0,0,0
01,014,Comuna 14,150,6515,0,0,0,233,30,6,10,7,1,0,0,0,0,0,0
01,001,Comuna 01,5,121,0,0,7,232,19,7,3,4,1,0,0,0,0,0,0
01,014,Comuna 14,149,6440,0,0,1,232,17,8,5,5,1,0,0,0,0,0,0
01,014,Comuna 14,149,6446,0,0,2,232,26,3,5,5,0,0,0,0,0,0,0
01,014,Comuna 14,149,6463,0,0,3,231,25,7,7,3,1,0,0,0,0,0,0
01,001,Comuna 01,5,123,0,0,8,230,23,11,4,1,0,0,0,0,0,0,0
01,014,Comuna 14,149,6475,0,0,2,230,21,5,15,4,3,0,0,0,0,0,0
01,001,Comuna 01,5,113,0,0,1,229,24,3,6,3,0,0,0,0,0,0,0
01,002,Comuna 02,20,553,0,0,1,229,19,7,6,3,0,0,0,0,0,0,0
01,002,Comuna 02,24,726,0,0,2,229,31,5,8,1,2,0,0,0,0,0,0
01,013,Comuna 13,141,6021,0,0,5,229,23,14,10,0,3,0,0,0,0,0,0
01,013,Comuna 13,141,6079,0,0,4,229,24,8,6,2,1,0,0,0,0,0,0
01,014,Comuna 14,149,6456,0,0,1,229,19,7,9,5,0,0,0,0,0,0,0
01,001,Comuna 01,5,129,0,0,3,228,24,4,5,2,0,0,0,0,0,0,0
01,001,Comuna 01,5,132,0,0,4,228,27,11,1,4,0,0,0,0,0,0,0
01,002,Comuna 02,20,556,0,0,5,228,15,14,5,5,1,0,0,0,0,0,0
01,014,Comuna 14,149,6441,0,0,2,228,29,5,8,2,1,0,0,0,0,0,0
01,013,Comuna 13,141,6015,0,0,1,227,26,8,11,4,2,0,0,0,0,0,0
01,013,Comuna 13,141,6031,0,0,9,227,21,7,9,2,1,0,0,0,0,0,0
01,013,Comuna 13,141,6036,0,0,2,227,22,8,6,3,0,0,0,0,0,0,0
01,013,Comuna 13,141,6040,0,0,5,227,32,8,8,2,2,0,0,0,0,0,0
01,002,Comuna 02,20,549,0,0,6,226,18,9,2,4,3,0,0,0,0,0,0
01,002,Comuna 02,20,565,0,0,5,226,14,6,5,6,3,0,0,0,0,0,0
01,013,Comuna 13,141,6032,0,0,4,226,15,12,9,4,1,0,0,0,0,0,0
01,013,Comuna 13,141,6044,0,0,4,226,28,3,6,2,3,0,0,0,0,0,0
01,013,Comuna 13,141,6070,0,0,5,226,41,9,5,5,2,0,0,0,0,0,0
01,013,Comuna 13,141,6076,0,0,0,226,20,5,10,2,3,0,0,0,0,0,0
01,014,Comuna 14,149,6454,0,0,6,226,17,6,6,4,0,0,0,0,0,0,0
01,014,Comuna 14,149,6470,0,0,1,226,19,6,7,2,0,0,0,0,0,0,0
01,014,Comuna 14,150,6495,0,0,2,226,37,11,11,2,1,0,0,0,0,0,0
01,001,Comuna 01,5,103,0,0,3,225,28,10,5,3,0,0,0,0,0,0,0
01,001,Comuna 01,5,127,0,0,0,225,24,7,8,8,3,0,0,0,0,0,0
01,001,Comuna 01,5,130,0,0,2,225,26,3,6,3,3,0,0,0,0,0,0
01,002,Comuna 02,25,778,0,0,1,225,27,7,5,2,0,0,0,0,0,0,0
01,013,Comuna 13,141,6025,0,0,3,225,29,14,9,5,1,0,0,0,0,0,0
01,013,Comuna 13,141,6056,0,0,5,225,16,5,11,7,0,0,0,0,0,0,0
01,014,Comuna 14,149,6445,0,0,3,225,30,2,4,2,1,0,0,0,0,0,0
01,014,Comuna 14,149,6450,0,0,2,225,19,7,7,4,2,0,0,0,0,0,0
01,014,Comuna 14,149,6467,0,0,3,225,32,5,4,3,1,0,0,0,0,0,0
01,014,Comuna 14,149,6473,0,0,5,225,25,4,8,2,1,0,0,0,0,0,0
01,014,Comuna 14,150,6539,0,0,5,225,28,13,7,1,0,0,0,0,0,0,0
01,001,Comuna 01,3,69,0,0,5,224,22,4,3,4,1,0,0,0,0,0,0
01,002,Comuna 02,19,546,0,0,3,224,30,8,3,3,1,0,0,0,0,0,0
01,002,Comuna 02,20,572,0,0,9,224,22,6,7,1,0,0,0,0,0,0,0
01,002,Comuna 02,25,786,0,0,5,224,32,12,10,4,2,0,0,0,0,0,0
01,013,Comuna 13,141,6080,0,0,1,224,27,9,6,3,0,0,0,0,0,0,0
01,014,Comuna 14,149,6469,0,0,3,224,28,8,6,3,1,0,0,0,0,0,0
01,001,Comuna 01,3,66,0,0,9,223,27,10,10,3,3,0,0,0,0,0,0
01,002,Comuna 02,20,552,0,0,1,223,21,3,5,4,1,0,0,0,0,0,0
01,002,Comuna 02,20,558,0,0,4,223,36,6,4,2,0,0,0,0,0,0,0
01,002,Comuna 02,20,575,0,0,2,223,19,5,7,4,1,0,0,0,0,0,0
01,013,Comuna 13,141,6063,0,0,2,223,28,7,9,4,1,0,0,0,0,0,0
01,014,Comuna 14,149,6447,0,0,3,223,21,2,12,7,1,0,0,0,0,0,0
01,002,Comuna 02,20,569,0,0,2,222,21,8,2,5,0,0,0,0,0,0,0
01,013,Comuna 13,141,6020,0,0,5,222,25,13,12,1,1,0,0,0,0,0,0
01,014,Comuna 14,148,6381,0,0,3,222,35,7,11,3,1,0,0,0,0,0,0
01,014,Comuna 14,150,6481,0,0,6,222,33,13,13,3,1,0,0,0,0,0,0
01,001,Comuna 01,5,107,0,0,2,221,24,7,4,2,2,0,0,0,0,0,0
01,002,Comuna 02,24,729,0,0,3,221,41,8,5,2,2,0,0,0,0,0,0
01,013,Comuna 13,141,6038,0,0,3,221,29,7,8,4,0,0,0,0,0,0,0
01,013,Comuna 13,141,6055,0,0,3,221,34,4,12,6,0,0,0,0,0,0,0
01,014,Comuna 14,147,6324,0,0,0,221,34,11,12,4,0,0,0,0,0,0,0
01,014,Comuna 14,149,6439,0,0,1,221,28,8,6,2,1,0,0,0,0,0,0
01,014,Comuna 14,149,6451,0,0,7,221,32,8,6,0,2,0,0,0,0,0,0
01,014,Comuna 14,149,6453,0,0,4,221,20,4,6,4,1,0,0,0,0,0,0
01,014,Comuna 14,149,6460,0,0,3,221,26,4,4,4,3,0,0,0,0,0,0
01,014,Comuna 14,149,6471,0,0,0,221,18,7,9,5,3,0,0,0,0,0,0
01,001,Comuna 01,7,182,0,0,221,7,1,0,5,5,1,0,0,0,0,0,0
01,002,Comuna 02,20,548,0,0,7,220,16,10,9,4,0,0,0,0,0,0,0
