codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00961,00956,00960,00959,00951,00954,00958,00955,00953,00952,00957,00962
01,013,COMUNA 13,00141,006084,0,0,7,220,24,4,1,12,1,0,7,1,2,0,0
01,013,COMUNA 13,00141,006093,0,0,6,212,18,2,0,8,2,0,8,0,0,1,0
01,013,COMUNA 13,00141,006132,0,0,5,212,18,5,2,9,8,0,6,0,0,0,0
01,014,COMUNA 14,00149,006506,0,0,9,211,24,1,1,10,1,0,7,0,1,1,0
01,014,COMUNA 14,00150,006579,0,0,3,211,29,3,3,7,4,0,14,0,0,0,0
01,013,COMUNA 13,00141,006123,0,0,7,210,23,3,1,8,0,0,15,0,2,0,0
01,013,COMUNA 13,00141,006122,0,0,0,209,22,6,0,10,4,0,8,0,4,0,0
01,013,COMUNA 13,00141,006113,0,0,9,206,38,7,0,5,2,0,5,0,1,0,0
01,013,COMUNA 13,00141,006124,0,0,8,206,15,7,2,9,3,0,11,0,1,0,0
01,013,COMUNA 13,00141,006089,0,0,8,205,15,8,3,14,3,0,8,0,0,0,0
01,013,COMUNA 13,00141,006080,0,0,8,204,21,9,4,5,0,0,10,1,0,1,0
01,014,COMUNA 14,00149,006527,0,0,3,204,26,5,0,12,0,0,7,1,1,0,0
01,001,COMUNA 01,00005,000126,0,0,7,203,20,1,1,6,12,0,7,1,0,1,0
01,002,COMUNA 02,00020,000558,0,0,7,203,16,3,0,4,11,0,5,1,1,0,0
01,002,COMUNA 02,00020,000561,0,0,11,203,16,3,3,10,7,0,6,0,0,0,0
01,014,COMUNA 14,00150,006609,0,0,5,203,33,1,4,11,1,0,4,0,0,1,0
01,002,COMUNA 02,00024,000743,0,0,2,202,25,7,1,10,6,0,4,0,0,0,0
01,013,COMUNA 13,00141,006073,0,0,5,202,27,7,3,9,3,0,11,1,1,1,0
01,013,COMUNA 13,00141,006104,0,0,4,202,24,5,1,9,4,0,6,0,0,0,0
01,014,COMUNA 14,00149,006503,0,0,2,202,13,5,2,12,9,0,6,0,0,0,0
01,014,COMUNA 14,00149,006530,0,0,7,202,22,5,4,4,3,0,5,0,2,0,0
01,001,COMUNA 01,00003,000070,0,0,5,201,21,0,1,7,2,0,10,1,2,0,0
01,001,COMUNA 01,00005,000123,0,0,7,201,14,1,0,6,13,0,9,0,0,0,0
01,013,COMUNA 13,00141,006078,0,0,4,201,25,12,1,12,0,0,11,0,2,0,0
01,013,COMUNA 13,00141,006097,0,0,4,201,41,5,3,9,4,0,5,0,1,0,0
01,013,COMUNA 13,00141,006128,0,0,9,201,30,5,4,8,3,0,7,0,1,0,0
01,014,COMUNA 14,00150,006550,0,0,1,201,34,5,1,12,7,0,2,1,1,1,0
01,001,COMUNA 01,00005,000107,0,0,8,200,28,3,1,9,2,0,3,0,1,0,0
01,014,COMUNA 14,00150,006551,0,0,5,200,28,6,2,15,3,0,10,0,0,0,0
01,013,COMUNA 13,00141,006076,0,0,2,199,24,9,0,7,3,0,9,0,1,1,0
01,013,COMUNA 13,00141,006088,0,0,8,199,27,5,0,5,2,0,9,0,0,0,0
01,013,COMUNA 13,00141,006094,0,0,9,199,22,2,3,9,2,0,8,0,1,0,0
01,014,COMUNA 14,00149,006505,0,0,6,199,27,5,1,11,4,0,4,2,0,2,0
01,014,COMUNA 14,00149,006529,0,0,9,199,15,1,2,5,7,0,13,0,2,0,0
01,014,COMUNA 14,00150,006602,0,0,6,199,29,7,0,7,3,0,6,0,1,0,0
01,002,COMUNA 02,00020,000570,0,0,4,198,13,3,2,6,9,0,6,1,0,0,1
01,002,COMUNA 02,00025,000784,0,0,10,198,25,4,1,6,12,0,5,0,0,0,0
01,013,COMUNA 13,00141,006136,0,0,4,198,19,12,1,8,0,0,14,0,0,1,0
01,014,COMUNA 14,00147,006423,0,0,5,198,49,1,1,14,4,0,8,1,2,0,2
01,014,COMUNA 14,00149,006517,0,0,8,198,15,2,2,7,6,0,5,0,1,0,0
01,014,COMUNA 14,00149,006518,0,0,12,198,21,4,0,14,6,0,7,0,0,0,0
01,014,COMUNA 14,00149,006533,0,0,5,198,24,3,2,8,4,1,5,0,3,0,0
01,001,COMUNA 01,00005,000105,0,0,4,197,26,2,3,15,5,1,11,0,0,0,0
01,013,COMUNA 13,00141,006079,0,0,7,197,25,3,4,16,2,0,6,0,1,0,0
01,013,COMUNA 13,00141,006099,0,0,9,197,30,7,1,11,2,0,3,0,3,0,0
01,013,COMUNA 13,00141,006114,0,0,11,197,16,9,0,10,2,0,8,0,0,0,0
01,014,COMUNA 14,00148,006491,0,0,10,197,32,6,5,20,1,0,6,1,2,0,0
01,014,COMUNA 14,00149,006508,0,0,12,197,19,3,1,7,3,1,6,1,0,0,0
01,014,COMUNA 14,00149,006522,0,0,8,197,22,2,1,8,1,0,10,0,1,0,1
01,014,COMUNA 14,00150,006559,0,0,3,197,34,8,1,17,1,0,6,0,1,1,0
01,014,COMUNA 14,00152,006679,0,0,1,197,71,9,6,12,3,0,3,0,3,0,1
01,002,COMUNA 02,00025,000776,0,0,3,196,37,8,0,9,6,0,11,0,1,0,0
01,013,COMUNA 13,00141,006096,0,0,8,196,30,3,1,6,6,0,3,0,1,0,0
01,013,COMUNA 13,00141,006098,0,0,4,196,35,4,2,11,2,0,11,0,2,0,0
01,013,COMUNA 13,00141,006126,0,0,4,196,39,4,1,17,2,0,4,0,0,0,0
01,013,COMUNA 13,00141,006127,0,0,1,196,36,4,2,10,2,0,7,0,0,2,0
01,014,COMUNA 14,00148,006493,0,0,13,196,28,7,3,13,1,0,4,0,1,0,0
01,014,COMUNA 14,00149,006511,0,0,6,196,23,8,0,7,2,1,12,0,0,0,0
