codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00016,00024,00028,00029,00036,00037,00041,00050,00058,00061,00077,00108
01,001,Comuna 01,00001,000001,0,0,15,0,12,0,0,22,104,0,113,0,0,0,4
01,001,Comuna 01,00001,000002,0,0,8,0,7,0,0,14,102,0,113,0,0,0,5
01,001,Comuna 01,00001,000003,0,0,7,0,15,0,0,12,116,0,105,0,0,0,4
01,001,Comuna 01,00001,000004,0,0,8,0,15,0,0,13,111,0,109,0,0,0,9
01,001,Comuna 01,00001,000005,0,0,8,0,18,0,0,10,118,0,111,0,0,0,3
01,001,Comuna 01,00001,000006,0,0,5,0,21,0,0,9,129,0,100,0,0,0,7
01,001,Comuna 01,00001,000007,0,0,11,0,6,0,0,19,112,0,104,0,0,0,6
01,001,Comuna 01,00001,000008,0,0,5,0,17,0,0,13,112,0,116,0,0,0,6
01,001,Comuna 01,00001,000009,0,0,9,0,8,0,0,13,112,0,120,0,0,0,3
01,001,Comuna 01,00001,000010,0,0,3,0,11,0,0,12,125,0,109,0,0,0,2
01,001,Comuna 01,00001,000011,0,0,10,0,12,0,0,17,89,0,135,0,0,0,6
01,001,Comuna 01,00001,000012,0,0,8,0,12,0,0,15,108,0,120,0,0,0,5
01,001,Comuna 01,00001,000013,0,0,12,0,16,0,0,10,106,0,118,0,0,0,4
01,001,Comuna 01,00001,000014,0,0,7,0,16,0,0,16,112,0,104,0,0,0,5
01,001,Comuna 01,00001,000015,0,0,7,0,5,0,0,7,111,0,130,0,0,0,4
01,001,Comuna 01,00001,000016,0,0,8,0,12,0,0,13,115,0,105,0,0,0,4
01,001,Comuna 01,00001,000017,0,0,8,0,14,0,0,16,96,0,129,0,0,0,4
01,001,Comuna 01,00001,000018,0,0,8,0,15,0,0,11,104,0,128,0,0,0,4
01,001,Comuna 01,00001,000019,0,0,11,0,11,0,0,11,117,0,114,0,0,0,4
01,001,Comuna 01,00001,000020,0,0,11,0,13,0,0,10,115,0,116,0,0,0,6
01,001,Comuna 01,00001,000021,0,0,8,0,8,0,0,12,116,0,121,0,0,0,5
01,001,Comuna 01,00001,000022,0,0,10,0,21,0,0,12,113,0,115,0,0,0,6
01,001,Comuna 01,00001,000023,0,0,6,0,17,0,0,11,126,0,105,0,0,0,9
01,001,Comuna 01,00001,000024,0,0,5,0,12,0,0,11,124,0,110,0,0,0,4
01,001,Comuna 01,00001,000025,0,0,4,0,12,0,0,17,113,0,117,0,0,0,3
01,001,Comuna 01,00001,000026,0,0,4,0,12,0,0,11,115,0,127,0,0,0,5
01,001,Comuna 01,00001,000027,0,0,4,0,17,0,0,25,107,0,121,0,0,0,1
01,001,Comuna 01,00001,000028,0,0,12,0,10,0,0,14,106,0,129,0,0,0,4
01,001,Comuna 01,00001,000029,0,0,16,0,13,0,0,15,129,0,95,0,0,0,3
01,001,Comuna 01,00001,098515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,001,Comuna 01,00002,000033,0,0,7,0,10,0,0,11,130,0,85,0,0,0,5
01,001,Comuna 01,00002,000034,0,0,4,0,7,0,0,13,124,0,98,0,0,0,4
01,001,Comuna 01,00002,000035,0,0,16,0,8,0,0,21,104,0,114,0,0,0,2
01,001,Comuna 01,00002,000036,0,0,12,0,8,0,0,9,125,0,98,0,0,0,3
01,001,Comuna 01,00002,000037,0,0,7,0,7,0,0,10,113,0,106,0,0,0,5
01,001,Comuna 01,00002,000038,0,0,11,0,10,0,0,9,114,0,103,0,0,0,8
01,001,Comuna 01,00002,000039,0,0,8,0,12,0,0,16,109,0,91,0,0,0,7
01,001,Comuna 01,00002,000040,0,0,9,0,17,0,0,13,96,0,114,0,0,0,4
01,001,Comuna 01,00002,000041,0,0,11,0,11,0,0,7,111,0,108,0,0,0,4
01,001,Comuna 01,00002,000042,0,0,10,0,11,0,0,5,128,0,88,0,0,0,7
01,001,Comuna 01,00002,000043,0,0,6,0,16,0,0,18,105,0,84,0,0,0,7
01,001,Comuna 01,00002,000044,0,0,10,0,15,0,0,14,115,0,84,0,0,0,6
01,001,Comuna 01,00002,000045,0,0,9,0,13,0,0,7,116,0,96,0,0,0,6
01,001,Comuna 01,00002,000046,0,0,9,0,17,0,0,16,111,0,111,0,0,0,6
01,001,Comuna 01,00002,000047,0,0,8,0,12,0,0,18,104,0,109,0,0,0,7
01,001,Comuna 01,00002,000048,0,0,10,0,15,0,0,10,113,0,110,0,0,0,6
01,001,Comuna 01,00002,000049,0,0,5,0,7,0,0,9,104,0,113,0,0,0,7
01,001,Comuna 01,00002,000050,0,0,10,0,11,0,0,8,102,0,126,0,0,0,4
01,001,Comuna 01,00002,000051,0,0,6,0,17,0,0,17,101,0,102,0,0,0,1
01,001,Comuna 01,00002,000052,0,0,11,0,11,0,0,13,113,0,117,0,0,0,6
01,001,Comuna 01,00002,000053,0,0,9,0,8,0,0,18,97,0,117,0,0,0,4
01,001,Comuna 01,00002,000054,0,0,10,0,14,0,0,15,90,0,119,0,0,0,4
01,001,Comuna 01,00002,000055,0,0,7,0,10,0,0,13,115,0,88,0,0,0,3
01,001,Comuna 01,00002,000056,0,0,7,0,11,0,0,14,125,0,92,0,0,0,10
01,001,Comuna 01,00002,000057,0,0,14,0,13,0,0,8,117,0,97,0,0,0,4
01,001,Comuna 01,00002,000058,0,0,12,0,10,0,0,11,130,0,86,0,0,0,6
01,001,Comuna 01,00002,000059,0,0,7,0,8,0,0,16,101,0,110,0,0,0,4
01,001,Comuna 01,00002,000060,0,0,7,0,10,0,0,13,131,0,89,0,0,0,5
