codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,01290,01285,01289,01280,01284,01288,01283,01281,01291,01286,01282,01287
01,013,COMUNA 13,00141,006084,0,0,8,223,23,3,12,6,0,1,2,0,0,1,0
01,013,COMUNA 13,00141,006093,0,0,6,212,19,1,7,8,0,2,0,0,1,0,0
01,013,COMUNA 13,00141,006132,0,0,5,211,18,5,11,6,1,8,0,0,0,0,0
01,014,COMUNA 14,00149,006506,0,0,11,211,24,0,10,7,0,1,1,0,1,0,0
01,014,COMUNA 14,00150,006579,0,0,5,210,30,2,8,14,2,3,0,0,0,0,0
01,013,COMUNA 13,00141,006123,0,0,8,209,23,3,8,15,1,1,2,0,0,0,0
01,013,COMUNA 13,00141,006122,0,0,0,207,23,6,10,8,0,5,3,0,0,0,0
01,002,COMUNA 02,00020,000561,0,0,9,206,17,3,10,6,1,7,0,0,0,0,0
01,013,COMUNA 13,00141,006113,0,0,9,206,39,6,5,5,0,2,1,0,0,0,0
01,013,COMUNA 13,00141,006073,0,0,7,205,27,4,9,11,2,2,1,0,1,1,0
01,013,COMUNA 13,00141,006089,0,0,11,205,16,6,14,7,3,3,0,0,0,0,0
01,013,COMUNA 13,00141,006124,0,0,9,205,16,6,9,11,1,4,1,0,0,0,0
01,013,COMUNA 13,00141,006078,0,0,4,204,27,9,12,11,0,0,2,0,0,0,0
01,013,COMUNA 13,00141,006080,0,0,6,204,21,8,6,10,4,2,0,0,1,1,0
01,013,COMUNA 13,00141,006128,0,0,6,204,30,5,9,7,2,4,1,0,0,0,0
01,013,COMUNA 13,00141,006088,0,0,5,203,29,2,7,9,0,2,0,0,0,0,0
01,014,COMUNA 14,00149,006505,0,0,5,203,27,4,10,3,1,4,0,0,2,2,0
01,014,COMUNA 14,00149,006527,0,0,3,203,26,4,13,9,0,0,1,0,0,1,0
01,014,COMUNA 14,00150,006550,0,0,1,203,34,5,12,2,0,7,1,0,1,1,0
01,014,COMUNA 14,00150,006609,0,0,4,203,34,3,12,4,1,1,0,0,1,0,0
01,013,COMUNA 13,00141,006104,0,0,5,202,25,5,8,6,0,4,0,0,0,0,0
01,013,COMUNA 13,00141,006114,0,0,7,202,17,8,13,8,0,2,0,0,0,0,0
01,013,COMUNA 13,00141,006136,0,0,3,202,19,9,9,14,1,0,0,0,1,0,0
01,001,COMUNA 01,00003,000070,0,0,4,201,21,0,7,11,1,2,2,0,0,1,0
01,001,COMUNA 01,00005,000126,0,0,9,201,20,1,5,8,1,14,0,0,1,1,0
01,013,COMUNA 13,00141,006079,0,0,5,201,26,2,15,6,2,3,1,0,0,0,0
01,013,COMUNA 13,00141,006094,0,0,8,201,22,2,9,8,3,2,1,0,0,0,0
01,014,COMUNA 14,00149,006518,0,0,10,201,22,3,15,6,0,5,0,0,0,0,0
01,014,COMUNA 14,00150,006602,0,0,5,201,31,5,6,6,0,3,1,0,0,0,0
01,002,COMUNA 02,00024,000743,0,0,4,200,26,6,10,4,1,6,0,0,0,0,0
01,013,COMUNA 13,00141,006097,0,0,6,200,40,5,10,5,2,4,1,0,0,0,0
01,014,COMUNA 14,00148,006493,0,0,14,200,28,7,9,5,2,1,1,0,0,0,0
