codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00024,00036,00037,00047,00050,00058
19,001,Pueyrredón,04374,081956,0,0,10,0,4,99,21,148,0
19,001,Pueyrredón,04374,081957,0,0,26,0,16,82,23,145,0
19,001,Pueyrredón,04374,081958,0,0,23,0,7,78,16,161,0
19,001,Pueyrredón,04374,081959,0,0,12,0,14,76,19,153,0
19,001,Pueyrredón,04374,081960,0,0,13,0,8,81,21,152,0
19,001,Pueyrredón,04374,081961,0,0,20,0,11,87,17,149,0
19,001,Pueyrredón,04374,081962,0,0,14,0,7,93,19,141,0
19,001,Pueyrredón,04374,081963,0,0,23,0,8,87,20,139,0
19,001,Pueyrredón,04374,081964,0,0,14,0,12,52,15,162,0
19,001,Pueyrredón,04374,081965,0,0,14,0,8,71,17,159,0
19,001,Pueyrredón,04374,081966,0,0,16,0,11,111,12,125,0
19,001,Pueyrredón,04374,081967,0,0,25,0,4,82,28,147,0
19,001,Pueyrredón,04374,081968,0,0,26,0,3,90,19,158,0
19,001,Pueyrredón,04374,081969,0,0,16,0,8,92,16,144,0
19,001,Pueyrredón,04374,081970,0,0,20,0,9,112,13,126,0
19,001,Pueyrredón,04374,081972,0,0,17,0,5,88,17,139,0
19,001,Pueyrredón,04374,081973,0,0,14,0,16,87,20,146,0
19,001,Pueyrredón,04374,081975,0,0,22,0,8,94,19,121,0
19,001,Pueyrredón,04374,081976,0,0,19,0,10,92,15,132,0
19,001,Pueyrredón,04374,081977,0,0,18,0,13,70,15,151,0
19,001,Pueyrredón,04374,081978,0,0,11,0,10,82,16,145,0
19,001,Pueyrredón,04374,081979,0,0,15,0,12,93,9,143,0
19,001,Pueyrredón,04374,081980,0,0,2,0,16,97,12,120,0
19,001,Pueyrredón,04374,081981,0,0,25,0,8,104,16,129,0
19,001,Pueyrredón,04374,081982,0,0,14,0,8,62,16,165,0
19,001,Pueyrredón,04374,081983,0,0,20,0,11,105,14,139,0
19,001,Pueyrredón,04374,081984,0,0,1,0,13,83,15,147,0
19,001,Pueyrredón,04374,081985,0,0,17,0,9,68,15,168,0
19,001,Pueyrredón,04374,081986,0,0,26,0,9,88,13,150,0
19,001,Pueyrredón,04374,081987,0,0,19,0,9,81,18,146,0
19,001,Pueyrredón,04374,081988,0,0,26,0,13,91,13,133,0
19,001,Pueyrredón,04374,081989,0,0,20,0,6,86,12,158,0
19,001,Pueyrredón,04374,081990,0,0,19,0,10,98,10,149,0
19,001,Pueyrredón,04374,081991,0,0,17,0,6,107,13,144,0
19,001,Pueyrredón,04374,081992,0,0,16,0,10,87,14,149,0
19,001,Pueyrredón,04374,101216,0,0,0,0,0,0,0,0,0
19,001,Pueyrredón,04374,101217,0,0,0,0,0,0,0,0,0
19,001,Pueyrredón,04375,081993,0,0,28,0,15,94,24,121,0
19,001,Pueyrredón,04375,081994,0,0,22,0,12,98,17,129,0
19,001,Pueyrredón,04375,081995,0,0,16,0,12,105,20,139,0
19,001,Pueyrredón,04375,081996,0,0,28,0,13,95,24,126,0
19,001,Pueyrredón,04375,081997,0,0,32,0,11,101,8,137,0
19,001,Pueyrredón,04375,081998,0,0,20,0,6,85,14,155,0
19,001,Pueyrredón,04375,081999,0,0,15,0,7,119,29,122,0
19,001,Pueyrredón,04375,082000,0,0,27,0,17,95,19,134,0
19,001,Pueyrredón,04375,082001,0,0,39,0,8,94,31,109,0
19,001,Pueyrredón,04375,082002,0,0,25,0,11,87,26,144,0
19,001,Pueyrredón,04375,082003,0,0,32,0,10,100,8,143,0
19,001,Pueyrredón,04375,082004,0,0,32,0,9,91,15,131,0
19,001,Pueyrredón,04375,082005,0,0,20,0,14,86,27,144,0
19,001,Pueyrredón,04375,082006,0,0,16,0,9,112,20,125,0
19,001,Pueyrredón,04375,082007,0,0,8,0,13,95,21,134,0
19,001,Pueyrredón,04375,082008,0,0,24,0,8,85,35,132,0
19,001,Pueyrredón,04375,082009,0,0,24,0,16,107,23,129,0
19,001,Pueyrredón,04375,082010,0,0,30,0,4,104,20,122,0
19,001,Pueyrredón,04375,082011,0,0,28,0,11,89,23,125,0
19,001,Pueyrredón,04375,082012,0,0,20,0,11,86,20,137,0
19,001,Pueyrredón,04375,082013,0,0,58,0,8,104,0,129,0
19,001,Pueyrredón,04375,082014,0,0,16,0,10,85,23,143,0
19,001,Pueyrredón,04375,082015,0,0,16,0,9,96,27,135,0
19,001,Pueyrredón,04375,082016,0,0,30,0,11,79,20,141,0
19,001,Pueyrredón,04375,082017,0,0,21,0,8,94,22,145,0
19,001,Pueyrredón,04375,082018,0,0,37,0,11,99,22,134,0
19,001,Pueyrredón,04375,082019,0,0,26,0,14,110,25,108,0
19,001,Pueyrredón,04375,082020,0,0,27,0,8,79,30,136,0
19,001,Pueyrredón,04375,082021,0,0,17,0,6,87,20,148,0
19,001,Pueyrredón,04375,082022,0,0,11,0,11,119,17,128,0
19,001,Pueyrredón,04375,082023,0,0,18,0,7,100,26,137,0
19,001,Pueyrredón,04375,082024,0,0,25,0,15,112,16,119,0
19,001,Pueyrredón,04375,082025,0,0,28,0,13,88,19,135,0
19,001,Pueyrredón,04375,082026,0,0,20,0,12,114,29,116,0
19,001,Pueyrredón,04375,082027,0,0,29,0,5,97,30,122,0
19,001,Pueyrredón,04375,082028,0,0,19,0,7,95,21,121,0
19,001,Pueyrredón,04375,082029,0,0,31,0,10,115,18,114,0
19,001,Pueyrredón,04375,082030,0,0,36,0,4,84,19,143,0
19,001,Pueyrredón,04375,101218,0,0,0,0,0,0,0,0,0
19,001,Pueyrredón,04376,082031,0,0,17,0,11,114,12,111,0
19,001,Pueyrredón,04376,082032,0,0,27,0,8,115,12,105,0
19,001,Pueyrredón,04376,082033,0,0,19,0,2,124,14,106,0
19,001,Pueyrredón,04376,082034,0,0,14,0,8,122,13,106,0
19,001,Pueyrredón,04376,082035,0,0,1,0,5,129,19,102,0
19,001,Pueyrredón,04376,082036,0,0,22,0,7,113,7,124,0
19,001,Pueyrredón,04376,101219,0,0,0,0,0,0,0,0,0
