codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00980,00981,00979,00976,00977,00975,00978,00982
03,006,SANTA ROSA,1320,45184,0,0,0,234,0,1,12,0,3,0,0
03,001,CAPITAL,1267,44990,0,0,31,229,1,0,45,7,17,7,1
03,012,ANDALGALÁ,1357,45368,0,0,11,227,0,0,21,0,1,1,0
03,002,CAPAYÁN,1271,45018,0,0,16,222,4,0,20,0,8,1,0
03,012,ANDALGALÁ,1357,45367,0,0,21,217,0,2,23,0,3,0,0
03,002,CAPAYÁN,1271,45023,0,0,10,213,0,0,36,0,11,3,0
03,006,SANTA ROSA,1316,45165,0,0,2,213,0,0,11,0,0,0,1
03,006,SANTA ROSA,1316,45166,0,0,19,208,0,1,24,0,3,2,1
03,012,ANDALGALÁ,1357,45364,0,0,19,208,0,0,30,0,3,0,0
03,001,CAPITAL,1264,44805,0,0,3,204,0,1,29,1,8,5,0
03,006,SANTA ROSA,1312,45160,0,0,0,204,0,0,8,1,3,1,0
03,012,ANDALGALÁ,1357,45362,0,0,21,204,0,0,38,0,2,0,0
03,002,CAPAYÁN,1271,45024,0,0,4,203,0,0,27,1,0,0,0
03,012,ANDALGALÁ,1357,45363,0,0,2,202,0,0,30,0,1,0,1
03,013,BELÉN,1373,45423,0,0,19,202,0,0,16,1,20,1,0
03,013,BELÉN,1374,45425,0,0,1,201,0,0,23,0,25,0,1
03,006,SANTA ROSA,1312,45157,0,0,45,200,0,0,20,1,5,0,0
03,012,ANDALGALÁ,1357,45366,0,0,10,199,1,0,44,0,1,0,0
03,013,BELÉN,1372,45420,0,0,12,199,0,0,34,0,16,1,0
03,006,SANTA ROSA,1312,45159,0,0,1,198,0,0,16,0,7,1,1
03,011,POMÁN,1349,45334,0,0,17,198,0,0,31,0,0,0,0
03,011,POMÁN,1354,45346,0,0,37,195,0,0,34,0,2,0,0
03,011,POMÁN,1355,45352,0,0,7,195,0,0,37,0,2,0,1
03,012,ANDALGALÁ,1357,45365,0,0,16,195,0,1,39,1,0,0,2
03,002,CAPAYÁN,1271,45017,0,0,33,194,0,0,26,0,4,2,0
03,006,SANTA ROSA,1312,45161,0,0,0,194,0,1,29,0,4,0,0
03,011,POMÁN,1356,45361,0,0,23,194,1,0,41,0,0,3,0
03,006,SANTA ROSA,1310,45155,0,0,28,193,1,0,30,0,6,1,0
03,001,CAPITAL,1264,44803,0,0,23,192,0,0,29,0,6,3,0
03,011,POMÁN,1355,45351,0,0,0,192,0,0,37,0,2,0,0
03,011,POMÁN,1355,45353,0,0,20,191,0,0,42,0,0,0,0
03,013,BELÉN,1372,45421,0,0,24,191,0,0,41,1,11,0,0
03,001,CAPITAL,1264,44809,0,0,2,188,2,0,35,1,6,5,0
03,006,SANTA ROSA,1316,45167,0,0,2,188,0,0,11,0,9,0,0
03,013,BELÉN,1373,45424,0,0,0,188,0,1,18,1,28,0,0
03,001,CAPITAL,1264,44795,0,0,5,187,0,0,29,1,4,2,3
03,001,CAPITAL,1264,44800,0,0,0,187,3,2,19,2,8,3,1
03,002,CAPAYÁN,1273,45044,0,0,1,187,0,0,23,0,6,1,0
03,011,POMÁN,1349,45333,0,0,27,187,0,2,50,0,2,0,0
03,011,POMÁN,1356,45356,0,0,12,187,0,1,54,1,3,0,0
03,001,CAPITAL,1264,44796,0,0,0,186,1,2,38,0,7,3,0
03,001,CAPITAL,1264,44806,0,0,2,186,0,2,32,1,5,3,2
03,006,SANTA ROSA,1320,45185,0,0,0,186,0,0,17,0,2,0,0
03,011,POMÁN,1356,45359,0,0,29,186,0,0,38,1,4,1,0
03,010,AMBATO,1341,45315,0,0,0,185,0,0,87,0,1,0,0
03,001,CAPITAL,1264,44801,0,0,22,184,0,0,32,0,8,4,0
03,002,CAPAYÁN,1271,45019,0,0,0,184,0,0,34,0,4,1,0
03,002,CAPAYÁN,1271,45021,0,0,0,184,0,0,35,0,0,1,0
