codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00139,00146,00148,00136,00137,00138,00142,00143,00140,00144,00141,00145,00147,00149,00150
06,007,Bermejo,2298,56517,0,0,5,232,43,6,6,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2311,56684,0,0,9,232,22,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,2287,56423,0,0,4,228,49,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,004,General Donovan,2284,56388,0,0,0,227,49,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,2385,57945,0,0,0,226,7,1,0,0,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,2287,56426,0,0,4,223,41,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,2287,56421,0,0,3,222,37,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,2287,56422,0,0,4,222,53,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,2298,56512,0,0,5,222,52,9,2,0,0,0,0,0,0,0,0,0,0,0
06,011,Mayor L. J. Fontana,2326,56888,0,0,9,64,222,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,2330,56914,0,0,4,222,37,4,1,0,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,2284,56393,0,0,11,221,46,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2313,56709,0,0,7,221,32,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,2385,57946,0,0,4,221,0,2,1,0,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,2289,56446,0,0,6,220,48,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2311,56665,0,0,1,219,44,3,3,0,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,2330,56911,0,0,2,219,51,9,3,0,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,2282,56374,0,0,12,218,48,3,0,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,2298,56525,0,0,0,218,48,0,7,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,2351,57355,0,0,0,218,30,1,0,0,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,2394,58051,0,0,0,218,24,2,2,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2311,56699,0,0,6,217,44,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,015,25 de Mayo,2351,57351,0,0,2,217,32,1,2,0,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,2385,57939,0,0,7,217,2,0,2,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2311,56676,0,0,12,216,22,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2311,56689,0,0,3,216,39,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,2332,56949,0,0,3,216,34,4,2,0,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,2332,56952,0,0,4,216,36,3,5,0,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,2361,57479,0,0,4,216,36,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,024,Almirante Brown,2381,57828,0,0,4,216,41,1,2,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2311,56673,0,0,1,215,39,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2313,56708,0,0,5,215,33,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2313,56707,0,0,6,214,32,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,2286,56419,0,0,13,213,59,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,015,25 de Mayo,2351,57352,0,0,2,213,29,0,0,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,2351,57354,0,0,1,213,25,2,3,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2311,56669,0,0,3,212,40,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,2331,56936,0,0,11,212,39,1,2,0,0,0,0,0,0,0,0,0,0,0
06,024,Almirante Brown,2381,57839,0,0,1,212,42,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,004,General Donovan,2282,56372,0,0,12,211,54,4,6,0,0,0,0,0,0,0,0,0,0,0
