codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,01014,01012,01007,01017,01018,01010,01013,01011,01009,01015,01008,01016,01020,01019
06,007,BERMEJO,2254,57997,0,0,257,1,0,0,0,0,0,0,0,0,0,0,0,0,0
06,007,BERMEJO,2254,57988,0,0,229,0,0,46,2,2,0,0,0,0,0,0,2,0,0
06,007,BERMEJO,2254,57982,0,0,22,216,13,27,6,0,0,0,1,0,0,0,3,1,0
06,007,BERMEJO,2254,57990,0,0,0,205,8,29,0,0,0,0,0,0,1,4,0,2,2
06,007,BERMEJO,2254,57979,0,0,0,196,29,32,3,0,0,0,0,2,0,4,5,2,2
06,010,SAN LORENZO ,2273,58148,0,0,7,191,11,28,0,0,0,0,1,6,1,0,2,0,0
06,007,BERMEJO,2254,57998,0,0,0,189,22,32,0,0,0,0,0,0,0,0,0,0,0
06,008,LIBERTADOR GRAL. SAN MARTÍN,2265,58113,0,0,0,188,10,48,0,1,0,0,1,2,0,7,5,0,0
06,007,BERMEJO,2254,57977,0,0,7,187,33,33,2,1,0,0,0,5,0,2,4,1,0
06,007,BERMEJO,2254,57992,0,0,0,187,14,42,0,1,0,0,0,3,0,2,2,2,1
06,007,BERMEJO,2254,57984,0,0,19,186,16,36,7,0,0,2,0,3,0,7,0,3,0
06,003,LIBERTAD,2242,57915,0,0,5,185,24,17,3,0,0,0,2,0,0,0,1,0,1
06,010,SAN LORENZO ,2273,58138,0,0,0,185,11,21,0,0,0,0,3,0,0,1,0,0,1
06,010,SAN LORENZO ,2273,58163,0,0,14,184,3,35,0,0,0,1,0,16,1,1,2,2,0
06,005,SARGENTO CABRAL ,2247,57944,0,0,4,183,35,25,2,1,0,0,4,6,2,6,4,1,0
06,010,SAN LORENZO ,2273,58166,0,0,7,183,4,31,0,0,0,0,0,10,0,0,2,2,1
06,007,BERMEJO,2254,57994,0,0,8,182,19,38,0,0,0,1,1,0,0,4,4,0,1
06,010,SAN LORENZO ,2273,58147,0,0,1,182,7,40,0,0,0,0,2,4,0,0,0,0,3
06,010,SAN LORENZO ,2273,58146,0,0,6,181,3,39,0,0,0,0,1,11,0,2,1,0,1
06,004,GENERAL DONOVAN,2245,57922,0,0,10,51,180,26,0,1,0,0,1,0,0,4,0,0,0
06,007,BERMEJO,2254,58001,0,0,3,180,26,39,1,0,0,0,0,5,3,1,4,0,1
06,024,ALMIRANTE BROWN,2326,58988,0,0,2,180,9,22,0,1,0,0,0,1,0,0,0,0,0
06,007,BERMEJO,2254,57993,0,0,41,179,0,29,3,0,0,0,0,1,1,4,10,3,1
06,008,LIBERTADOR GRAL. SAN MARTÍN,2265,58110,0,0,1,179,11,47,0,0,0,0,1,1,0,5,0,1,1
06,007,BERMEJO,2254,57981,0,0,11,178,20,42,3,2,0,0,1,4,0,2,6,0,1
06,007,BERMEJO,2254,57986,0,0,0,178,19,40,2,2,0,1,0,3,1,5,3,2,0
06,007,BERMEJO,2254,57995,0,0,26,178,23,41,1,0,0,0,0,2,0,9,0,1,1
06,007,BERMEJO,2254,57999,0,0,0,178,22,35,0,0,0,0,0,0,0,4,0,3,1
06,010,SAN LORENZO ,2273,58164,0,0,10,178,8,28,1,1,0,1,2,17,0,0,2,2,1
