codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00026,00032,00034,00023,00024,00025,00030,00027,00029,00028,00031,00033,00035,00036
06,007,Bermejo,02298,056517,0,0,4,234,43,5,6,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02311,056684,0,0,9,232,22,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,004,General Donovan,02284,056388,0,0,0,229,49,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,02287,056423,0,0,3,229,49,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,02385,057945,0,0,0,226,7,1,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02313,056709,0,0,3,225,32,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,02287,056421,0,0,3,224,37,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,02330,056914,0,0,4,224,37,4,1,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,02287,056422,0,0,3,223,54,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,02287,056426,0,0,4,223,41,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,02298,056512,0,0,5,222,52,9,2,0,0,0,0,0,0,0,0,0,0
06,011,Mayor L. J. Fontana,02326,056888,0,0,9,64,222,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,004,General Donovan,02284,056393,0,0,11,221,46,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,02330,056911,0,0,0,221,51,9,3,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,02351,057355,0,0,0,221,30,1,0,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,02385,057946,0,0,4,221,0,2,1,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,02289,056446,0,0,6,220,48,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,02311,056665,0,0,1,219,44,3,3,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,02282,056374,0,0,12,218,48,3,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,02298,056525,0,0,0,218,48,0,7,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02311,056676,0,0,11,217,22,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,02311,056699,0,0,6,217,44,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,02313,056708,0,0,3,217,33,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,02332,056952,0,0,4,217,35,3,5,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,02351,057351,0,0,2,217,32,1,2,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,02385,057939,0,0,7,217,2,0,2,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,02394,058051,0,0,0,217,24,2,2,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02311,056673,0,0,1,216,38,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,02311,056689,0,0,3,216,39,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,02332,056949,0,0,3,216,34,4,2,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,02361,057479,0,0,4,216,36,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,024,Almirante Brown,02381,057828,0,0,4,216,41,1,2,0,0,0,0,0,0,0,0,0,0
