codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,01296,01297,01292,01301,01302,01295,01298,01304,01299,01293,01294,01300,01303
06,007,BERMEJO,02254,057982,0,0,19,218,15,26,6,0,0,0,1,0,0,0,3,0
06,007,BERMEJO,02254,057990,0,0,0,207,9,28,0,0,0,0,2,1,4,0,0,2
06,007,BERMEJO,02254,057979,0,0,0,196,30,32,3,0,0,0,2,0,4,2,5,2
06,010,SAN LORENZO ,02273,058161,0,0,0,196,13,20,0,0,0,0,1,1,1,16,1,0
06,010,SAN LORENZO ,02273,058148,0,0,4,193,11,22,0,0,0,0,0,1,7,6,2,0
06,015,25 DE MAYO,02300,058654,0,0,3,193,55,24,0,0,0,0,0,0,0,0,0,0
06,007,BERMEJO,02254,057977,0,0,4,190,34,33,2,1,0,0,0,0,2,5,4,0
06,007,BERMEJO,02254,057998,0,0,0,189,23,32,0,0,0,0,0,0,0,0,0,0
06,008,LIBERTADOR GRAL. SAN MARTÍN,02265,058113,0,0,0,188,10,48,0,1,0,0,0,0,1,7,5,0
06,007,BERMEJO,02254,057992,0,0,0,187,15,41,0,1,0,0,2,0,2,3,2,1
06,007,BERMEJO,02254,057984,0,0,20,186,17,35,7,0,0,2,3,0,7,2,0,0
06,008,LIBERTADOR GRAL. SAN MARTÍN,02265,058110,0,0,1,186,9,49,0,0,0,0,1,0,3,3,0,1
06,010,SAN LORENZO ,02273,058163,0,0,11,186,3,27,0,0,0,1,2,1,10,16,2,0
06,003,LIBERTAD,02242,057915,0,0,5,185,27,17,3,0,0,0,0,0,0,0,1,1
06,007,BERMEJO,02254,057994,0,0,7,185,18,39,0,0,0,1,0,0,3,0,4,1
06,010,SAN LORENZO ,02273,058138,0,0,0,185,11,17,0,0,0,0,0,0,5,0,0,1
06,010,SAN LORENZO ,02273,058146,0,0,6,185,3,31,0,0,0,0,0,0,8,12,1,1
06,007,BERMEJO,02254,057993,0,0,36,184,0,29,3,0,0,0,3,1,4,1,10,1
06,010,SAN LORENZO ,02273,058147,0,0,1,184,7,36,0,0,0,0,0,0,4,4,0,3
06,010,SAN LORENZO ,02273,058166,0,0,7,183,5,24,0,0,0,0,2,0,7,10,2,1
06,005,SARGENTO CABRAL ,02247,057944,0,0,4,182,35,24,3,1,0,0,1,2,9,6,4,0
06,007,BERMEJO,02254,057986,0,0,0,182,19,39,2,2,0,1,2,1,5,3,3,0
06,007,BERMEJO,02254,058001,0,0,3,181,28,37,1,0,0,0,0,3,1,5,4,1
06,024,ALMIRANTE BROWN,02326,058988,0,0,1,181,9,22,0,1,0,0,0,0,0,1,0,0
06,004,GENERAL DONOVAN,02245,057922,0,0,12,51,180,24,0,1,0,0,0,0,4,0,0,0
06,007,BERMEJO,02254,057999,0,0,0,180,24,35,0,0,0,0,2,0,4,0,0,1
06,010,SAN LORENZO ,02273,058164,0,0,10,180,8,27,1,1,0,1,2,0,1,17,2,1
06,007,BERMEJO,02254,057981,0,0,9,179,22,43,3,2,0,0,0,0,1,4,6,1
06,007,BERMEJO,02254,057985,0,0,18,179,22,44,2,0,0,0,3,0,4,4,5,1
06,007,BERMEJO,02254,057995,0,0,27,179,25,38,1,0,0,0,0,0,9,2,0,1
06,003,LIBERTAD,02240,057910,0,0,31,178,50,57,2,0,0,1,5,2,5,7,4,2
06,004,GENERAL DONOVAN,02245,057920,0,0,0,60,178,0,1,0,0,0,0,0,2,0,0,0
06,008,LIBERTADOR GRAL. SAN MARTÍN,02265,058114,0,0,0,178,8,43,0,0,0,0,0,0,1,0,8,0
06,024,ALMIRANTE BROWN,02326,058985,0,0,2,178,10,22,0,1,0,0,0,0,2,1,1,0
06,004,GENERAL DONOVAN,02245,057921,0,0,0,54,177,28,0,0,0,0,0,0,3,2,1,0
06,004,GENERAL DONOVAN,02246,057923,0,0,13,175,41,39,0,0,0,0,1,0,14,2,5,2
06,005,SARGENTO CABRAL ,02247,057942,0,0,0,175,48,25,0,1,0,3,4,1,5,1,1,1
06,008,LIBERTADOR GRAL. SAN MARTÍN,02265,058109,0,0,2,175,8,59,1,0,0,0,0,0,1,3,10,0
06,010,SAN LORENZO ,02273,058145,0,0,18,175,11,19,0,0,0,0,7,0,3,7,6,0
06,010,SAN LORENZO ,02273,058162,0,0,14,175,8,23,0,0,0,0,1,0,5,7,1,2
06,015,25 DE MAYO,02299,058594,0,0,7,175,32,36,1,1,0,0,2,0,8,5,2,2
06,016,MAIPÚ,02303,058665,0,0,5,175,29,16,0,2,0,1,0,0,11,5,3,0
06,001,SAN FERNANDO,02233,057805,0,0,9,174,40,34,1,0,0,1,4,0,3,11,10,2
06,003,LIBERTAD,02242,057916,0,0,7,174,50,14,0,1,0,1,0,0,0,5,1,1
06,003,LIBERTAD,02242,057917,0,0,0,174,37,16,2,0,0,1,0,0,3,3,2,0
06,010,SAN LORENZO ,02273,058140,0,0,4,174,9,46,0,0,0,0,4,0,4,15,2,0
06,005,SARGENTO CABRAL ,02247,057939,0,0,6,173,43,26,0,1,0,1,0,0,4,3,1,0
06,010,SAN LORENZO ,02273,058137,0,0,4,173,8,22,0,1,0,0,3,0,11,9,2,2
06,010,SAN LORENZO ,02273,058155,0,0,4,173,8,27,0,0,0,1,0,0,3,9,2,1
06,005,SARGENTO CABRAL ,02247,057943,0,0,15,172,37,38,1,1,0,0,0,0,3,3,2,0
06,008,LIBERTADOR GRAL. SAN MARTÍN,02263,058094,0,0,9,172,37,39,3,0,0,1,2,0,2,3,6,2
