codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00036,00037,00050,00058,00087
11,001,Atreuco,03123,065768,0,0,6,1,97,113,0,13
11,001,Atreuco,03123,065769,0,0,12,4,93,128,0,15
11,001,Atreuco,03123,065770,0,0,10,7,86,131,0,18
11,001,Atreuco,03123,065771,0,0,10,7,113,95,0,16
11,001,Atreuco,03123,065772,0,0,0,8,111,107,0,16
11,001,Atreuco,03124,065773,0,0,2,3,133,108,0,22
11,001,Atreuco,03124,065774,0,0,9,4,118,152,0,12
11,001,Atreuco,03124,065775,0,0,6,4,157,98,0,21
11,001,Atreuco,03124,065776,0,0,6,2,130,136,0,7
11,001,Atreuco,03124,065777,0,0,15,4,159,78,0,16
11,001,Atreuco,03124,065778,0,0,12,3,135,120,0,14
11,001,Atreuco,03124,065779,0,0,7,4,128,118,0,19
11,001,Atreuco,03124,065780,0,0,8,10,146,104,0,17
11,001,Atreuco,03124,065781,0,0,14,2,145,104,0,13
11,001,Atreuco,03124,065782,0,0,9,2,133,123,0,13
11,001,Atreuco,03124,065783,0,0,8,4,126,122,0,20
11,001,Atreuco,03124,065784,0,0,4,3,125,120,0,18
11,001,Atreuco,03124,065785,0,0,9,3,113,136,0,19
11,001,Atreuco,03124,065786,0,0,15,5,127,118,0,22
11,001,Atreuco,03125,065787,0,0,7,6,114,111,0,20
11,001,Atreuco,03125,065788,0,0,8,3,137,107,0,10
11,001,Atreuco,03125,065789,0,0,12,3,127,100,0,14
11,001,Atreuco,03125,065790,0,0,9,11,122,108,0,15
11,001,Atreuco,03125,065791,0,0,7,2,131,109,0,6
11,001,Atreuco,03125,065792,0,0,6,5,130,115,0,16
11,001,Atreuco,03125,065793,0,0,9,0,119,125,0,12
11,001,Atreuco,03126,065794,0,0,9,2,164,100,0,18
11,001,Atreuco,03126,065795,0,0,8,4,144,102,0,20
11,001,Atreuco,03127,065796,0,0,5,2,67,88,0,5
11,001,Atreuco,03127,100838,0,0,0,0,0,0,0,0
11,002,Capital,03128,065797,0,0,9,11,160,71,0,14
11,002,Capital,03128,065798,0,0,13,3,132,84,0,14
11,002,Capital,03128,065799,0,0,10,6,136,79,0,15
11,002,Capital,03128,065800,0,0,3,12,159,65,0,11
11,002,Capital,03128,065801,0,0,9,4,125,84,0,22
11,002,Capital,03128,065802,0,0,12,9,105,116,0,14
11,002,Capital,03129,065803,0,0,31,8,135,77,0,15
11,002,Capital,03129,065804,0,0,12,8,134,100,0,16
11,002,Capital,03129,065805,0,0,13,11,146,97,0,16
11,002,Capital,03129,065806,0,0,12,11,139,100,0,17
11,002,Capital,03129,065807,0,0,0,6,134,104,0,12
11,002,Capital,03129,065808,0,0,12,3,156,95,0,18
11,002,Capital,03129,065809,0,0,21,4,138,89,0,14
11,002,Capital,03129,065810,0,0,0,12,151,82,0,17
11,002,Capital,03129,065811,0,0,9,7,178,61,0,23
