codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,01022,01023,01027,01028,01024,01026,01025,01021
07,015,ESCALANTE,2451,60357,0,0,0,191,23,9,11,8,15,10,7
07,015,ESCALANTE,2454,60444,0,0,190,8,25,10,12,9,3,0,5
07,015,ESCALANTE,2455,60456,0,0,0,176,0,0,5,7,27,4,12
07,015,ESCALANTE,2455,60491,0,0,16,173,12,18,12,0,14,6,7
07,015,ESCALANTE,2455,60476,0,0,37,171,14,14,4,2,5,12,5
07,015,ESCALANTE,2455,60503,0,0,18,171,17,10,3,9,1,1,11
07,015,ESCALANTE,2455,60507,0,0,30,170,4,19,4,6,6,5,6
07,015,ESCALANTE,2455,60502,0,0,23,168,20,7,10,9,9,6,6
07,015,ESCALANTE,2447,60272,0,0,1,167,14,8,3,3,14,4,7
07,015,ESCALANTE,2450,60329,0,0,164,11,32,11,8,0,13,0,0
07,002,BIEDMA,2374,59715,0,0,30,162,13,1,4,16,15,9,15
07,001,RAWSON,2361,59476,0,0,26,159,11,16,8,3,21,8,6
07,002,BIEDMA,2374,59717,0,0,39,159,12,4,3,15,16,4,15
07,015,ESCALANTE,2455,60485,0,0,44,158,10,16,4,3,20,6,15
07,015,ESCALANTE,2455,60500,0,0,0,158,25,20,10,4,10,4,4
07,015,ESCALANTE,2455,60454,0,0,0,157,16,0,0,5,0,0,9
07,002,BIEDMA,2374,59730,0,0,25,155,18,0,2,13,12,10,10
07,015,ESCALANTE,2441,60144,0,0,2,155,25,3,0,11,8,0,12
07,015,ESCALANTE,2451,60352,0,0,6,155,1,21,11,49,9,0,13
07,015,ESCALANTE,2441,60161,0,0,0,154,32,12,4,6,1,7,10
07,002,BIEDMA,2374,59709,0,0,0,153,11,4,8,13,13,5,21
07,002,BIEDMA,2374,59739,0,0,3,153,13,0,6,15,12,9,18
07,015,ESCALANTE,2439,60126,0,0,0,153,0,13,6,8,7,8,5
07,015,ESCALANTE,2439,60128,0,0,0,153,24,7,5,9,12,9,15
07,015,ESCALANTE,2455,60451,0,0,0,153,1,13,15,0,15,0,6
07,015,ESCALANTE,2455,60496,0,0,39,153,16,19,13,3,9,4,8
07,001,RAWSON,2361,59470,0,0,2,152,9,4,4,7,24,6,16
07,001,RAWSON,2361,59489,0,0,32,152,4,16,5,7,25,5,9
07,002,BIEDMA,2374,59714,0,0,41,152,16,1,4,6,20,8,17
07,005,CUSHAMEN,2379,59753,0,0,42,151,22,2,0,11,12,4,14
07,015,ESCALANTE,2439,60133,0,0,0,151,21,16,4,7,13,4,5
07,015,ESCALANTE,2451,60367,0,0,0,151,35,12,3,5,15,6,11
07,015,ESCALANTE,2455,60481,0,0,33,151,19,18,5,5,14,9,6
07,015,ESCALANTE,2455,60482,0,0,58,151,20,20,5,2,8,4,9
07,015,ESCALANTE,2455,60487,0,0,0,151,3,0,0,0,13,0,0
07,015,ESCALANTE,2455,60497,0,0,29,151,19,12,7,8,7,4,8
07,015,ESCALANTE,2455,60506,0,0,64,151,10,4,3,9,5,5,10
07,005,CUSHAMEN,2379,59759,0,0,30,150,6,3,1,14,15,6,15
07,008,TEHUELCHES,2407,59942,0,0,2,150,10,21,3,7,8,1,9
07,015,ESCALANTE,2450,60330,0,0,31,150,20,13,3,7,9,6,14
07,015,ESCALANTE,2450,60336,0,0,32,150,18,17,11,10,9,5,4
07,015,ESCALANTE,2455,60479,0,0,38,150,13,16,9,9,22,5,9
07,005,CUSHAMEN,2378,59750,0,0,5,149,8,5,0,12,21,0,3
07,006,FUTALEUFÚ,2390,59837,0,0,31,149,16,11,2,11,3,0,13
07,015,ESCALANTE,2454,60443,0,0,28,149,24,17,2,14,15,8,6
07,015,ESCALANTE,2455,60473,0,0,38,149,18,15,7,6,13,0,6
07,015,ESCALANTE,2455,60483,0,0,36,149,26,12,4,0,10,3,6
07,015,ESCALANTE,2455,60488,0,0,31,149,16,16,6,2,14,6,4
07,005,CUSHAMEN,2381,59772,0,0,29,148,16,36,3,8,0,4,3
07,015,ESCALANTE,2439,60134,0,0,34,148,14,15,2,6,5,4,8
07,015,ESCALANTE,2441,60156,0,0,33,148,34,11,4,7,11,3,6
07,015,ESCALANTE,2451,60378,0,0,38,148,21,8,7,6,11,6,0
07,015,ESCALANTE,2455,60472,0,0,33,148,26,9,3,1,4,1,10
07,015,ESCALANTE,2439,60127,0,0,148,63,25,0,6,5,0,9,0
07,005,CUSHAMEN,2379,59756,0,0,47,147,14,12,0,13,0,5,8
07,005,CUSHAMEN,2379,59762,0,0,46,147,23,4,1,16,12,1,14
07,015,ESCALANTE,2439,60136,0,0,0,147,29,10,6,11,15,8,15
07,015,ESCALANTE,2455,60486,0,0,46,147,18,15,5,6,11,8,7
07,015,ESCALANTE,2455,60509,0,0,37,147,21,10,9,4,11,12,9
07,015,ESCALANTE,2450,60320,0,0,147,44,0,15,4,6,11,9,9
07,001,RAWSON,2361,59471,0,0,34,146,7,13,3,8,31,7,9
07,002,BIEDMA,2374,59723,0,0,36,146,15,3,6,7,27,7,11
07,001,RAWSON,2361,59472,0,0,17,145,8,12,3,17,25,9,18
07,008,TEHUELCHES,2407,59940,0,0,6,145,11,14,0,15,7,6,9
07,015,ESCALANTE,2455,60462,0,0,47,145,14,18,4,11,11,7,5
07,015,ESCALANTE,2455,60471,0,0,9,145,27,13,13,5,15,5,9
07,015,ESCALANTE,2455,60480,0,0,31,145,23,9,6,3,15,8,9
07,005,CUSHAMEN,2378,59749,0,0,3,144,17,10,2,3,11,5,5
07,006,FUTALEUFÚ,2390,59858,0,0,43,144,26,0,5,16,0,13,12
07,015,ESCALANTE,2435,60093,0,0,1,144,27,9,4,15,19,0,5
07,015,ESCALANTE,2450,60338,0,0,25,144,28,6,4,10,12,4,10
07,015,ESCALANTE,2455,60467,0,0,40,144,17,19,11,5,19,3,6
07,015,ESCALANTE,2455,60492,0,0,32,144,21,12,4,10,7,10,0
07,015,ESCALANTE,2455,60498,0,0,40,144,20,9,9,3,11,9,2
07,002,BIEDMA,2371,59657,0,0,36,143,9,3,8,13,13,7,16
07,006,FUTALEUFÚ,2390,59840,0,0,2,143,14,7,4,26,2,9,12
07,001,RAWSON,2344,59291,0,0,25,142,10,7,7,12,25,6,13
07,001,RAWSON,2361,59479,0,0,26,142,15,13,5,6,32,3,8
07,001,RAWSON,2361,59486,0,0,29,142,5,12,2,11,34,6,6
07,002,BIEDMA,2371,59663,0,0,0,142,13,6,7,13,13,10,13
07,002,BIEDMA,2371,59672,0,0,22,142,15,5,6,18,16,7,20
07,002,BIEDMA,2371,59673,0,0,29,142,13,6,4,6,23,2,30
07,015,ESCALANTE,2441,60142,0,0,37,142,33,17,7,16,7,11,11
07,015,ESCALANTE,2450,60337,0,0,31,142,18,10,7,2,8,5,11
07,015,ESCALANTE,2455,60461,0,0,47,142,14,17,3,4,9,0,10
07,001,RAWSON,2361,59485,0,0,38,141,8,7,3,6,26,10,7
07,002,BIEDMA,2371,59661,0,0,0,141,22,1,4,7,17,4,16
07,002,BIEDMA,2371,59679,0,0,23,141,14,5,8,21,15,7,13
07,002,BIEDMA,2374,59733,0,0,30,141,16,4,7,20,12,7,14
07,002,BIEDMA,2374,59740,0,0,0,141,18,0,5,11,17,1,13
07,005,CUSHAMEN,2379,59755,0,0,43,141,10,4,7,13,5,3,14
07,015,ESCALANTE,2451,60347,0,0,43,141,40,12,5,0,11,13,10
07,001,RAWSON,2348,59352,0,0,34,140,10,8,4,7,26,5,21
07,001,RAWSON,2361,59488,0,0,29,140,6,7,7,2,37,5,8
07,002,BIEDMA,2371,59655,0,0,1,140,27,1,4,17,13,10,18
07,002,BIEDMA,2371,59659,0,0,27,140,14,3,2,14,14,9,13
07,002,BIEDMA,2371,59681,0,0,26,140,10,1,3,8,22,8,18
07,002,BIEDMA,2374,59741,0,0,33,140,18,4,3,17,15,7,16
07,015,ESCALANTE,2439,60129,0,0,38,140,7,14,5,25,11,4,0
07,015,ESCALANTE,2439,60132,0,0,34,140,25,16,2,11,8,7,6
