codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00115,00118,00120,00119,00112,00121,00125,00114,00113,00117,00116,00122,00123,00124
04,001,Capital,1521,46605,0,0,1,238,32,26,7,6,4,2,0,0,0,0,0,0,0
04,001,Capital,1520,46597,0,0,1,235,22,8,5,6,1,6,0,0,0,0,0,0,0
04,001,Capital,1520,46596,0,0,3,233,26,2,1,4,5,4,0,0,0,0,0,0,0
04,001,Capital,1520,46599,0,0,1,232,20,12,1,5,2,3,0,0,0,0,0,0,0
04,001,Capital,1521,46603,0,0,1,232,43,20,5,7,4,5,0,0,0,0,0,0,0
04,001,Capital,1520,46593,0,0,1,226,23,12,3,9,3,6,0,0,0,0,0,0,0
04,001,Capital,1520,46594,0,0,2,225,23,8,3,6,0,3,0,0,0,0,0,0,0
04,001,Capital,1521,46608,0,0,2,225,42,18,9,8,8,3,0,0,0,0,0,0,0
04,001,Capital,1520,46598,0,0,3,224,22,9,4,6,4,6,0,0,0,0,0,0,0
04,001,Capital,1521,46602,0,0,1,223,37,20,8,14,3,7,0,0,0,0,0,0,0
04,001,Capital,1521,46612,0,0,1,222,39,19,9,13,3,2,0,0,0,0,0,0,0
04,001,Capital,1520,46592,0,0,3,217,24,14,4,9,2,3,0,0,0,0,0,0,0
04,001,Capital,1521,46607,0,0,3,217,39,26,10,7,2,5,0,0,0,0,0,0,0
04,001,Capital,1555,47525,0,0,2,217,33,26,8,15,2,2,0,0,0,0,0,0,0
04,001,Capital,1521,46614,0,0,2,215,51,21,3,13,7,2,0,0,0,0,0,0,0
04,001,Capital,1555,47527,0,0,3,215,25,22,11,17,3,7,0,0,0,0,0,0,0
04,001,Capital,1520,46595,0,0,3,214,25,10,2,9,5,2,0,0,0,0,0,0,0
04,001,Capital,1521,46600,0,0,6,214,44,16,7,17,7,7,0,0,0,0,0,0,0
04,023,Tercero Arriba,2003,52465,0,0,4,214,32,19,3,0,9,3,0,0,0,0,0,0,0
04,005,General Roca,1645,48691,0,0,2,213,18,35,0,0,11,3,0,0,0,0,0,0,0
04,001,Capital,1521,46610,0,0,3,212,38,23,3,20,3,3,0,0,0,0,0,0,0
04,014,Río Primero,1826,50810,0,0,2,212,35,27,6,6,9,0,0,0,0,0,0,0,0
04,014,Río Primero,1833,50853,0,0,6,212,44,0,0,7,3,1,0,0,0,0,0,0,0
04,001,Capital,1555,47533,0,0,6,210,32,23,3,7,7,7,0,0,0,0,0,0,0
04,001,Capital,1521,46613,0,0,8,209,43,20,5,10,4,2,0,0,0,0,0,0,0
04,001,Capital,1549,47415,0,0,0,209,23,14,2,7,3,6,0,0,0,0,0,0,0
04,001,Capital,1555,47541,0,0,4,209,15,20,10,8,6,2,0,0,0,0,0,0,0
04,001,Capital,1521,46611,0,0,5,208,50,19,7,15,2,5,0,0,0,0,0,0,0
04,016,Río Segundo,1871,51204,0,0,4,208,17,54,2,3,6,1,0,0,0,0,0,0,0
04,009,Marcos Juárez,1710,49420,0,0,2,207,21,37,1,0,10,5,0,0,0,0,0,0,0
04,001,Capital,1521,46609,0,0,6,206,42,25,7,11,3,8,0,0,0,0,0,0,0
04,013,Río Cuarto,1798,50521,0,0,5,206,31,26,10,2,8,4,0,0,0,0,0,0,0
04,013,Río Cuarto,1798,50547,0,0,3,206,29,28,6,0,11,4,0,0,0,0,0,0,0
04,001,Capital,1549,47405,0,0,3,205,19,20,8,9,8,2,0,0,0,0,0,0,0
04,001,Capital,1549,47406,0,0,1,205,25,28,6,10,4,2,0,0,0,0,0,0,0
04,001,Capital,1557,47562,0,0,2,205,23,31,5,5,4,5,0,0,0,0,0,0,0
04,013,Río Cuarto,1793,50364,0,0,1,205,10,40,6,0,4,2,0,0,0,0,0,0,0
04,001,Capital,1457,44802,0,0,2,204,29,24,2,7,4,4,0,0,0,0,0,0,0
04,001,Capital,1555,47519,0,0,2,204,33,32,5,7,6,1,0,0,0,0,0,0,0
04,001,Capital,1521,46606,0,0,3,203,50,18,4,17,9,5,0,0,0,0,0,0,0
04,001,Capital,1555,47529,0,0,4,203,38,18,11,13,4,5,0,0,0,0,0,0,0
04,001,Capital,1555,47535,0,0,4,203,35,34,4,11,10,2,0,0,0,0,0,0,0
04,001,Capital,1557,47559,0,0,2,203,30,33,4,3,3,4,0,0,0,0,0,0,0
04,003,Colón,1593,47884,0,0,5,203,41,21,4,10,3,3,0,0,0,0,0,0,0
04,009,Marcos Juárez,1710,49418,0,0,0,203,20,42,2,0,4,4,0,0,0,0,0,0,0
04,023,Tercero Arriba,2003,52474,0,0,2,203,30,28,5,3,9,1,0,0,0,0,0,0,0
04,001,Capital,1555,47536,0,0,3,202,31,19,8,14,5,4,0,0,0,0,0,0,0
04,001,Capital,1557,47552,0,0,8,201,31,27,8,8,3,7,0,0,0,0,0,0,0
04,001,Capital,1558,47585,0,0,6,201,17,22,15,11,6,2,0,0,0,0,0,0,0
04,023,Tercero Arriba,2003,52469,0,0,0,201,31,36,7,1,3,0,0,0,0,0,0,0,0
04,001,Capital,1521,46601,0,0,5,200,46,26,9,14,5,1,0,0,0,0,0,0,0
04,001,Capital,1549,47407,0,0,3,200,23,28,12,6,4,2,0,0,0,0,0,0,0
04,001,Capital,1557,47553,0,0,3,200,31,25,7,13,4,4,0,0,0,0,0,0,0
04,001,Capital,1557,47557,0,0,1,200,28,27,10,2,5,3,0,0,0,0,0,0,0
04,005,General Roca,1645,48690,0,0,0,200,10,43,3,1,19,3,0,0,0,0,0,0,0
04,016,Río Segundo,1870,51172,0,0,5,200,18,36,1,5,8,5,0,0,0,0,0,0,0
04,016,Río Segundo,1870,51197,0,0,12,200,14,42,3,1,6,8,0,0,0,0,0,0,0
04,001,Capital,1549,47408,0,0,0,199,22,30,7,13,4,5,0,0,0,0,0,0,0
04,001,Capital,1555,47524,0,0,0,199,32,35,10,10,6,2,0,0,0,0,0,0,0
04,001,Capital,1555,47537,0,0,2,199,29,34,11,7,6,2,0,0,0,0,0,0,0
04,001,Capital,1521,46604,0,0,7,198,54,21,13,11,3,4,0,0,0,0,0,0,0
04,001,Capital,1554,47518,0,0,4,198,35,39,12,4,7,5,0,0,0,0,0,0,0
04,001,Capital,1555,47528,0,0,2,198,32,31,11,3,5,1,0,0,0,0,0,0,0
04,001,Capital,1557,47556,0,0,4,198,24,38,6,10,5,2,0,0,0,0,0,0,0
04,001,Capital,1558,47584,0,0,1,198,22,29,12,8,4,4,0,0,0,0,0,0,0
04,003,Colón,1593,47904,0,0,5,198,29,28,3,5,8,3,0,0,0,0,0,0,0
04,020,San Justo,1924,51590,0,0,4,198,28,33,5,11,11,1,0,0,0,0,0,0,0
04,023,Tercero Arriba,2003,52478,0,0,2,198,23,45,3,1,4,7,0,0,0,0,0,0,0
04,001,Capital,1457,44808,0,0,4,197,27,27,9,10,4,6,0,0,0,0,0,0,0
04,001,Capital,1492,45642,0,0,2,197,32,34,12,5,6,6,0,0,0,0,0,0,0
04,001,Capital,1503,45993,0,0,7,197,40,42,19,13,4,2,0,0,0,0,0,0,0
04,001,Capital,1555,47526,0,0,4,197,38,27,8,8,11,3,0,0,0,0,0,0,0
04,003,Colón,1593,47888,0,0,4,197,32,32,2,5,10,4,0,0,0,0,0,0,0
04,003,Colón,1593,47898,0,0,3,197,23,46,5,2,7,4,0,0,0,0,0,0,0
04,016,Río Segundo,1870,51169,0,0,12,197,19,36,2,6,7,3,0,0,0,0,0,0,0
04,001,Capital,1554,47516,0,0,0,196,41,32,9,10,9,3,0,0,0,0,0,0,0
04,001,Capital,1555,47520,0,0,1,196,36,26,5,14,5,4,0,0,0,0,0,0,0
04,001,Capital,1557,47555,0,0,5,196,26,34,13,9,3,4,0,0,0,0,0,0,0
04,001,Capital,1558,47590,0,0,0,196,29,32,14,3,3,4,0,0,0,0,0,0,0
