codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00024,00036,00037,00043,00044,00050,00082,00099
03,001,Capital,01289,043459,0,0,17,11,0,106,0,0,120,0,0
03,001,Capital,01289,043460,0,0,0,13,0,88,0,0,133,0,0
03,001,Capital,01289,043461,0,0,0,8,0,87,0,0,130,0,0
03,001,Capital,01289,043462,0,0,33,13,0,95,0,0,119,0,0
03,001,Capital,01289,043463,0,0,37,8,0,89,0,0,101,0,0
03,001,Capital,01289,043464,0,0,23,13,0,87,0,0,114,0,0
03,001,Capital,01289,043465,0,0,22,10,0,92,0,0,113,0,0
03,001,Capital,01290,043466,0,0,33,12,0,125,0,0,97,0,0
03,001,Capital,01290,043467,0,0,33,14,0,108,0,0,102,0,0
03,001,Capital,01290,043468,0,0,28,19,0,123,0,0,87,0,0
03,001,Capital,01290,043469,0,0,41,24,0,123,0,0,78,0,0
03,001,Capital,01290,043470,0,0,35,10,0,105,0,0,100,0,0
03,001,Capital,01290,043471,0,0,48,10,0,117,0,0,82,0,0
03,001,Capital,01290,043472,0,0,27,16,0,146,0,0,67,0,0
03,001,Capital,01290,043473,0,0,32,18,0,128,0,0,83,0,0
03,001,Capital,01290,043474,0,0,21,13,0,103,0,0,118,0,0
03,001,Capital,01290,043475,0,0,0,17,0,114,0,0,94,0,0
03,001,Capital,01290,043476,0,0,24,13,0,128,0,0,80,0,0
03,001,Capital,01290,043477,0,0,31,18,0,121,0,0,80,0,0
03,001,Capital,01290,043478,0,0,34,17,0,108,0,0,102,0,0
03,001,Capital,01290,043479,0,0,26,13,0,126,0,0,96,0,0
03,001,Capital,01290,043480,0,0,34,12,0,116,0,0,81,0,0
03,001,Capital,01290,043481,0,0,27,17,0,136,0,0,69,0,0
03,001,Capital,01290,043482,0,0,39,14,0,124,0,0,76,0,0
03,001,Capital,01290,043483,0,0,0,12,0,118,0,0,87,0,0
03,001,Capital,01290,043484,0,0,40,12,0,130,0,0,78,0,0
03,001,Capital,01290,043485,0,0,26,16,0,134,0,0,71,0,0
03,001,Capital,01290,043486,0,0,0,19,0,112,0,0,84,0,0
03,001,Capital,01290,043487,0,0,29,14,0,112,0,0,90,0,0
03,001,Capital,01290,043488,0,0,33,33,0,124,0,0,70,0,0
03,001,Capital,01290,043489,0,0,32,18,0,113,0,0,89,0,0
03,001,Capital,01290,100185,0,0,0,0,0,0,0,0,0,0,0
03,001,Capital,01290,100186,0,0,0,0,0,0,0,0,0,0,0
03,001,Capital,01290,100187,0,0,0,0,0,0,0,0,0,0,0
03,001,Capital,01291,043490,0,0,0,12,0,142,0,0,58,0,0
03,001,Capital,01291,043491,0,0,29,22,0,160,0,0,48,0,0
03,001,Capital,01291,043492,0,0,0,15,0,145,0,0,69,0,0
03,001,Capital,01291,043493,0,0,1,18,0,146,0,0,54,0,0
03,001,Capital,01291,043494,0,0,0,15,0,123,0,0,73,0,0
03,001,Capital,01291,043495,0,0,0,16,0,149,0,0,60,0,0
03,001,Capital,01291,043496,0,0,30,15,0,155,0,0,60,0,0
03,001,Capital,01291,043497,0,0,0,28,0,127,0,0,72,0,0
03,001,Capital,01291,043498,0,0,1,17,0,148,0,0,54,0,0
03,001,Capital,01291,043499,0,0,0,19,0,149,0,0,52,0,0
03,001,Capital,01291,043500,0,0,42,18,0,140,0,0,75,0,0
03,001,Capital,01291,043501,0,0,0,13,0,126,0,0,74,0,0
03,001,Capital,01291,043502,0,0,24,13,0,132,0,0,71,0,0
03,001,Capital,01291,043503,0,0,0,17,0,147,0,0,61,0,0
03,001,Capital,01291,043504,0,0,38,18,0,132,0,0,75,0,0
03,001,Capital,01291,043505,0,0,30,15,0,165,0,0,52,0,0
03,001,Capital,01291,043506,0,0,0,9,0,134,0,0,82,0,0
03,001,Capital,01291,043507,0,0,0,0,0,126,0,0,69,0,0
03,001,Capital,01291,043508,0,0,0,16,0,129,0,0,70,0,0
03,001,Capital,01291,043509,0,0,0,18,0,146,0,0,65,0,0
03,001,Capital,01291,043510,0,0,40,20,0,138,0,0,76,0,0
03,001,Capital,01291,043511,0,0,0,19,0,125,0,0,74,0,0
03,001,Capital,01291,043512,0,0,28,14,0,155,0,0,69,0,0
03,001,Capital,01291,043513,0,0,0,16,0,142,0,0,57,0,0
03,001,Capital,01291,043514,0,0,0,19,0,147,0,0,53,0,0
03,001,Capital,01291,043515,0,0,2,13,0,164,0,0,59,0,0
03,001,Capital,01291,043516,0,0,0,18,0,128,0,0,82,0,0
03,001,Capital,01291,043517,0,0,0,18,0,157,0,0,58,0,0
03,001,Capital,01291,043518,0,0,39,19,0,139,0,0,62,0,0
03,001,Capital,01291,043519,0,0,0,14,0,138,0,0,50,0,0
03,001,Capital,01291,043520,0,0,0,13,0,137,0,0,68,0,0
03,001,Capital,01291,043521,0,0,0,20,0,126,0,0,76,0,0
03,001,Capital,01291,043522,0,0,1,22,0,141,0,0,67,0,0
03,001,Capital,01291,043523,0,0,1,13,0,146,0,0,68,0,0
03,001,Capital,01291,043524,0,0,0,26,0,134,0,0,66,0,0
03,001,Capital,01291,043525,0,0,0,14,0,13,0,0,63,0,0
03,001,Capital,01291,043526,0,0,0,18,0,127,0,0,71,0,0
03,001,Capital,01291,043527,0,0,0,11,0,151,0,0,64,0,0
03,001,Capital,01291,043528,0,0,28,24,0,138,0,0,71,0,0
03,001,Capital,01291,043529,0,0,2,19,0,152,0,0,57,0,0
03,001,Capital,01291,043530,0,0,5,21,0,122,0,0,76,0,0
03,001,Capital,01291,043531,0,0,41,19,0,123,0,0,71,0,0
03,001,Capital,01291,043532,0,0,25,13,0,138,0,0,68,0,0
03,001,Capital,01291,043533,0,0,28,19,0,131,0,0,74,0,0
03,001,Capital,01291,043534,0,0,36,20,0,146,0,0,54,0,0
03,001,Capital,01291,043535,0,0,27,13,0,135,0,0,73,0,0
03,001,Capital,01291,043536,0,0,0,15,0,153,0,0,53,0,0
03,001,Capital,01291,043537,0,0,0,18,0,125,0,0,72,0,0
03,001,Capital,01291,043538,0,0,0,13,0,135,0,0,86,0,0
03,001,Capital,01291,043539,0,0,21,13,0,138,0,0,73,0,0
03,001,Capital,01291,043540,0,0,5,13,0,142,0,0,70,0,0
03,001,Capital,01291,043541,0,0,33,13,0,138,0,0,73,0,0
03,001,Capital,01291,043542,0,0,0,26,0,157,0,0,60,0,0
03,001,Capital,01291,043543,0,0,0,18,0,141,0,0,53,0,0
03,001,Capital,01291,043544,0,0,0,17,0,154,0,0,54,0,0
03,001,Capital,01291,043545,0,0,20,16,0,156,0,0,64,0,0
03,001,Capital,01291,043546,0,0,0,15,0,134,0,0,70,0,0
03,001,Capital,01291,043547,0,0,0,20,0,131,0,0,56,0,0
03,001,Capital,01291,043548,0,0,1,12,0,152,0,0,56,0,0
03,001,Capital,01291,043549,0,0,32,18,0,131,0,0,72,0,0
03,001,Capital,01291,043550,0,0,24,22,0,140,0,0,57,0,0
03,001,Capital,01291,043551,0,0,0,15,0,128,0,0,73,0,0
03,001,Capital,01291,043552,0,0,52,13,0,133,0,0,49,0,0
03,001,Capital,01291,043553,0,0,39,9,0,143,0,0,61,0,0
03,001,Capital,01291,043554,0,0,30,10,0,155,0,0,56,0,0
03,001,Capital,01291,043555,0,0,0,17,0,153,0,0,57,0,0
03,001,Capital,01291,043556,0,0,3,14,0,157,0,0,68,0,0
03,001,Capital,01291,043557,0,0,1,16,0,130,0,0,76,0,0
03,001,Capital,01291,043558,0,0,34,17,0,126,0,0,81,0,0
03,001,Capital,01291,043559,0,0,35,13,0,128,0,0,65,0,0
03,001,Capital,01291,043560,0,0,0,14,0,132,0,0,69,0,0
03,001,Capital,01291,043561,0,0,29,13,0,158,0,0,45,0,0
03,001,Capital,01291,043562,0,0,38,15,0,155,0,0,53,0,0
03,001,Capital,01291,043563,0,0,38,22,0,141,0,0,46,0,0
03,001,Capital,01291,043564,0,0,38,17,0,114,0,0,78,0,0
03,001,Capital,01291,043565,0,0,42,18,0,146,0,0,68,0,0
03,001,Capital,01291,043566,0,0,33,12,0,141,0,0,68,0,0
03,001,Capital,01291,043567,0,0,48,8,0,139,0,0,52,0,0
03,001,Capital,01291,043568,0,0,0,18,0,143,0,0,58,0,0
03,001,Capital,01291,043569,0,0,35,16,0,146,0,0,54,0,0
03,001,Capital,01291,043570,0,0,35,9,0,143,0,0,72,0,0
03,001,Capital,01291,043571,0,0,25,23,0,158,0,0,42,0,0
03,001,Capital,01291,043572,0,0,0,14,0,159,0,0,54,0,0
