codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,01002,00999,01000,01001,01005,01004,00998,01003,00997,01006
05,008,PASO DE LOS LIBRES,2098,56037,0,0,19,213,0,0,0,30,5,5,0,0,0
05,008,PASO DE LOS LIBRES,2098,56043,0,0,41,210,0,0,0,22,9,0,0,0,4
05,006,LAVALLE,2083,55759,0,0,1,206,2,1,0,49,0,4,0,0,2
05,015,SALADAS,2139,56451,0,0,13,206,0,5,4,21,17,2,3,2,3
05,014,GENERAL PAZ,2134,56403,0,0,1,204,0,5,0,34,6,3,0,0,2
05,002,GOYA,2055,55279,0,0,3,203,1,8,0,33,20,5,6,0,1
05,002,GOYA,2055,55314,0,0,0,201,1,5,0,32,12,4,9,4,3
05,006,LAVALLE,2079,55719,0,0,0,201,0,10,0,21,12,3,0,3,5
05,006,LAVALLE,2079,55720,0,0,3,201,1,4,0,18,11,1,3,4,14
05,006,LAVALLE,2080,55743,0,0,0,197,0,30,0,29,2,0,0,1,1
05,010,SAN LUIS DEL PALMAR,2106,56176,0,0,0,196,0,4,2,32,6,1,1,3,2
05,023,SAN MIGUEL,2189,56807,0,0,1,196,0,19,0,5,4,2,1,1,12
05,006,LAVALLE,2079,55724,0,0,3,195,0,2,0,26,9,0,0,4,2
05,008,PASO DE LOS LIBRES,2098,56032,0,0,2,195,0,2,1,26,11,3,8,0,5
05,008,PASO DE LOS LIBRES,2098,56034,0,0,23,195,0,0,2,22,9,2,6,5,9
05,013,SAN ROQUE,2124,56350,0,0,4,194,0,2,0,41,4,2,0,4,5
05,015,SALADAS,2139,56450,0,0,1,194,0,1,1,19,9,1,3,5,2
05,015,SALADAS,2139,56455,0,0,1,194,0,3,5,28,10,2,4,3,4
05,002,GOYA,2055,55315,0,0,0,193,0,4,0,19,10,1,4,10,3
05,011,BELLA VISTA,2113,56269,0,0,0,193,0,3,0,43,5,3,7,7,3
05,015,SALADAS,2139,56456,0,0,0,193,0,4,3,17,11,3,3,10,3
05,015,SALADAS,2139,56459,0,0,1,193,0,3,0,22,12,0,3,7,0
05,006,LAVALLE,2079,55733,0,0,0,192,1,2,0,35,10,4,5,0,0
05,008,PASO DE LOS LIBRES,2098,56035,0,0,0,0,192,2,29,4,4,0,15,2,7
05,002,GOYA,2055,55313,0,0,14,191,0,7,0,24,13,4,2,2,0
05,006,LAVALLE,2078,55711,0,0,0,191,0,0,0,43,14,2,5,7,5
05,006,LAVALLE,2079,55727,0,0,2,191,0,4,0,27,10,7,0,0,2
05,011,BELLA VISTA,2112,56209,0,0,1,191,0,3,0,34,12,4,9,7,2
