nombre,lista
FRENTE CIVICO POR SANTIAGO,287
FRENTE DE TODOS,295
FRENTE DE TODOS,228
FRENTE DE TODOS,98
JUNTOS POR EL CAMBIO,85
FRENTE DE TODOS,242
FRENTE DE TODOS,167
FRENTE DE TODOS,200
FRENTE DE TODOS,127
CAMBIA MENDOZA,198
JUNTOS POR EL CAMBIO,101
FRENTE DE TODOS,275
JUNTOS POR EL CAMBIO,115
JUNTOS POR EL CAMBIO,273
ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,131
FRENTE DE TODOS,139
JUNTOS POR EL CAMBIO,230
JUNTOS POR EL CAMBIO,298
FRENTE DE TODOS,218
FRENTE DE TODOS,108
JUNTOS POR EL CAMBIO,146
FRENTE DE TODOS,216
MOVIMIENTO LIBRES DEL SUR,292
JUNTOS POR EL CAMBIO,160
UNION POR SALTA,221
FRENTE DE TODOS,159
FRENTE DE TODOS,153
FRENTE DE TODOS,84
FRENTE DE TODOS,192
FRENTE DE TODOS,197
JUNTOS POR EL CAMBIO,201
JUNTOS POR EL CAMBIO,222
FRENTE DE TODOS,173
FRENTE DE TODOS,183
JUNTOS POR EL CAMBIO,240
CONSENSO FEDERAL,102
CONSENSO FEDERAL,148
FRENTE RENOVADOR DE LA CONCORDIA,199
JUNTOS POR EL CAMBIO,289
JUNTOS POR EL CAMBIO,177
HACEMOS POR CORDOBA,118
FRENTE DE TODOS,247
JUNTOS POR EL CAMBIO CHUBUT,156
PROTECTORA FUERZA POLITICA,195
FRENTE DE TODOS,288
FRENTE DE TODOS,211
JUNTOS POR EL CAMBIO,209
FRENTE AMPLIO FORMOSENO JUNTOS POR EL CAMBIO,169
FRENTE DE TODOS,120
JUNTOS POR EL CAMBIO,184
CONSENSO FEDERAL,86
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,119
MOVIMIENTO POPULAR NEUQUINO,207
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,272
JUNTOS POR EL CAMBIO,111
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,196
JUNTOS POR LA RIOJA,189
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,224
JUNTOS SOMOS RIO NEGRO,214
FRENTE DE TODOS,307
MOVIMIENTO POLO SOCIAL CHUBUT,152
CONSENSO FEDERAL,303
JUNTOS POR EL CAMBIO,251
JUNTOS POR EL CAMBIO,215
ENCUENTRO VECINAL CORDOBA,112
PARTIDO SOCIALISTA,204
CONSENSO FEDERAL,179
CONSENSO FEDERAL,168
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,188
CONSENSO FEDERAL,271
FUERZA REPUBLICANA,294
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO,308
VAMOS TODOS A VIVIR MEJOR,310
GEN,243
NUEVA IZQUIERDA,166
CONSENSO FEDERAL,212
CONSENSO FEDERAL,121
CONSENSO FEDERAL,109
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,100
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,217
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,246
PARTIDO SOCIALISTA,164
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,83
GEN,311
CONSENSO FEDERAL,233
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,301
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,158
PARTIDO SOCIALISTA,187
PARTIDO INDEPENDIENTE DEL CHUBUT,151
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,210
PARTIDO SOCIAL PATAGONICO,305
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,181
ACCION CHAQUENA,136
PARTIDO CONSERVADOR POPULAR,225
UNITE POR LA LIBERTAD Y LA DIGNIDAD,125
CONSENSO FEDERAL,134
COMPROMISO FEDERAL,194
FRENTE RENOVADOR AUTENTICO,245
CIUDADANOS A GOBERNAR,126
UNITE POR LA LIBERTAD Y LA DIGNIDAD,284
PARTIDO OBRERO,306
UNITE POR LA LIBERTAD Y LA DIGNIDAD,90
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,185
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,238
FRENTE NOS,258
AUTODETERMINACION Y LIBERTAD,80
EL MOVIMIENTO,81
MOVIMIENTO DE JUBILADOS Y JUVENTUD,82
MOVIMIENTO AL SOCIALISMO,87
DEMOCRATA CRISTIANO,88
FRENTE RENOVADOR AUTENTICO,89
PARTIDO DIGNIDAD POPULAR,91
PARTIDO HUMANISTA,92
MOVIMIENTO DE AVANZADA SOCIALISTA,93
MOVIMIENTO ORGANIZACION DEMOCRATICA,94
FRENTE PATRIOTA,95
PARTIDO REPUBLICANO FEDERAL,96
MORAL Y PROGRESO,97
PARTIDO DIGNIDAD POPULAR,99
PARTIDO RENOVADOR FEDERAL,103
FRENTE SOMOS CATAMARCA,104
PARTIDO POPULAR,105
UNION DEL CENTRO DEMOCRATICO,106
FRENTE UNIDOS POR LA GENTE,107
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,110
FRENTE DESPERTAR,114
FRENTE DESPERTAR,113
JUNTOS POR EL CAMBIO,117
JUNTOS POR EL CAMBIO,116
MOVIMIENTO AL SOCIALISMO,122
UNION POPULAR,123
MOVIMIENTO DE ACCION VECINAL,124
FRENTE DE TODOS,128
FRENTE DE TODOS,130
FRENTE DE TODOS,129
ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,133
ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,132
CONSENSO FEDERAL,135
PARTIDO CIUDADANOS A GOBERNAR,137
PARTIDO PROYECTO SUR CHACO,138
FRENTE DE TODOS,142
FRENTE DE TODOS,143
FRENTE DE TODOS,140
FRENTE DE TODOS,144
FRENTE DE TODOS,141
ALTERNATIVA RENOVADORA FEDERAL,145
JUNTOS POR EL CAMBIO,147
UNIR,149
PARTIDO DEL OBRERO,150
CHUBUT AL FRENTE,154
CHUBUT AL FRENTE,155
JUNTOS POR EL CAMBIO CHUBUT,157
JUNTOS POR EL CAMBIO,161
JUNTOS POR EL CAMBIO,162
MOVIMIENTO AL SOCIALISMO,163
PARTIDO SOCIALISTA,165
FRENTE AMPLIO FORMOSENO JUNTOS POR EL CAMBIO,171
FRENTE AMPLIO FORMOSENO JUNTOS POR EL CAMBIO,170
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,172
FRENTE DE TODOS,176
FRENTE DE TODOS,175
FRENTE DE TODOS,174
JUNTOS POR EL CAMBIO,178
CONSENSO FEDERAL,180
UNIR,182
MOVIMIENTO AL SOCIALISMO,186
FRENTE DE TODOS,190
MOVIMIENTO AL SOCIALISMO,191
UNIR,193
JUNTOS POR EL CAMBIO,203
JUNTOS POR EL CAMBIO,202
PARTIDO DEL OBRERO,205
MOVIMIENTO AL SOCIALISMO,206
MOVIMIENTO POPULAR NEUQUINO,208
MOVIMIENTO AL SOCIALISMO,213
FRENTE DE TODOS,219
FRENTE DE TODOS,220
JUNTOS POR EL CAMBIO,223
PARTIDO DIGNIDAD CIUDADANA,226
NUEVA DIRIGENCIA,227
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,229
JUNTOS POR EL CAMBIO,231
JUNTOS POR EL CAMBIO,232
CONSENSO FEDERAL,234
CONSENSO FEDERAL,235
CONSENSO FEDERAL,236
MOVIMIENTO AL SOCIALISMO,237
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,239
JUNTOS POR EL CAMBIO,241
MOVIMIENTO AL SOCIALISMO,244
FRENTE DE TODOS,248
FRENTE DE TODOS,249
FRENTE DE TODOS,250
JUNTOS POR EL CAMBIO,253
JUNTOS POR EL CAMBIO,252
JUNTOS POR EL CAMBIO,254
JUNTOS POR EL CAMBIO,255
JUNTOS POR EL CAMBIO,256
MOVIMIENTO AL SOCIALISMO,257
MOVIMIENTO INDEPENDIENTE RENOVADOR,259
PARTIDO POPULAR,260
FRENTE NOS,264
FRENTE NOS,270
FRENTE NOS,265
