codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0038,0047,0050,0061,0064,0160,0515,0523
13,Capital,001,0001 ,0001,321,3,4,NA,NA,19,21,NA,NA,NA,NA,NA
13,Capital,001,0001 ,0002,321,7,3,NA,NA,16,35,NA,NA,NA,NA,NA
13,Capital,001,0001 ,0003,321,9,2,NA,NA,13,22,NA,NA,NA,NA,NA
13,Capital,001,0001 ,0004,320,4,4,NA,NA,15,20,NA,NA,NA,NA,NA
13,Capital,001,0001 ,0005,320,5,6,NA,NA,15,20,NA,NA,NA,NA,NA
13,Capital,001,0001 ,0006,320,4,6,NA,NA,9,27,NA,NA,NA,NA,NA
13,Capital,001,0001 ,0007,320,5,5,NA,NA,13,33,NA,NA,NA,NA,NA
13,Capital,001,0001 ,0008,320,8,6,NA,NA,15,21,NA,NA,NA,NA,NA
13,Capital,001,0001 ,0009,320,9,11,NA,NA,18,29,NA,NA,NA,NA,NA
13,Capital,001,0001 ,0010,320,8,3,NA,NA,7,27,NA,NA,NA,NA,NA
13,Capital,001,0001 ,0011,320,3,6,NA,NA,12,26,NA,NA,NA,NA,NA
13,Capital,001,0001 ,0012,320,11,1,NA,NA,13,31,NA,NA,NA,NA,NA
13,Capital,001,0001 ,0013,320,14,2,NA,NA,19,21,NA,NA,NA,NA,NA
13,Capital,001,0002 ,0014,312,0,0,NA,NA,16,20,NA,NA,NA,NA,NA
13,Capital,001,0002 ,0015,312,4,3,NA,NA,13,19,NA,NA,NA,NA,NA
13,Capital,001,0002 ,0016,312,3,9,NA,NA,23,24,NA,NA,NA,NA,NA
13,Capital,001,0002 ,0017,312,13,10,NA,NA,23,21,NA,NA,NA,NA,NA
13,Capital,001,0002 ,0018,311,12,5,NA,NA,25,22,NA,NA,NA,NA,NA
13,Capital,001,0002 ,0019,311,3,3,NA,NA,19,27,NA,NA,NA,NA,NA
13,Capital,001,0002 ,0020,311,3,3,NA,NA,18,19,NA,NA,NA,NA,NA
13,Capital,001,0003 ,0021,308,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
13,Capital,001,0003 ,0022,308,11,1,NA,NA,20,22,NA,NA,NA,NA,NA
13,Capital,001,0003 ,0023,308,3,4,NA,NA,23,14,NA,NA,NA,NA,NA
13,Capital,001,0003 ,0024,308,0,6,NA,NA,25,17,NA,NA,NA,NA,NA
13,Capital,001,0003 ,0025,307,4,3,NA,NA,23,24,NA,NA,NA,NA,NA
13,Capital,001,0004 ,0026,303,9,0,NA,NA,16,17,NA,NA,NA,NA,NA
13,Capital,001,0004 ,0027,303,7,5,NA,NA,14,27,NA,NA,NA,NA,NA
13,Capital,001,0004 ,0028,303,0,1,NA,NA,24,25,NA,NA,NA,NA,NA
13,Capital,001,0004 ,0029,303,7,1,NA,NA,29,23,NA,NA,NA,NA,NA
13,Capital,001,0004 ,0030,302,7,3,NA,NA,31,27,NA,NA,NA,NA,NA
13,Capital,001,0004 ,0031,302,1,5,NA,NA,16,25,NA,NA,NA,NA,NA
