parDenominacion,vot_parCodigo,codprov,vot_proCodigoProvincia
FRENTE CIVICO POR SANTIAGO,287,22,22
FRENTE DE TODOS,295,23,23
FRENTE DE TODOS,228,18,18
FRENTE DE TODOS,98,02,02
JUNTOS POR EL CAMBIO,85,01,01
FRENTE DE TODOS,242,19,19
FRENTE DE TODOS,167,09,09
FRENTE DE TODOS,200,14,14
FRENTE DE TODOS,127,05,05
CAMBIA MENDOZA,198,13,13
JUNTOS POR EL CAMBIO,101,02,02
FRENTE DE TODOS,275,21,21
JUNTOS POR EL CAMBIO,115,04,04
JUNTOS POR EL CAMBIO,273,21,21
ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,131,05,05
FRENTE DE TODOS,139,06,06
JUNTOS POR EL CAMBIO,230,18,18
JUNTOS POR EL CAMBIO,298,23,23
FRENTE DE TODOS,218,17,17
FRENTE DE TODOS,108,03,03
JUNTOS POR EL CAMBIO,146,06,06
FRENTE DE TODOS,216,16,16
MOVIMIENTO LIBRES DEL SUR,292,22,22
JUNTOS POR EL CAMBIO,160,08,08
UNION POR SALTA,221,17,17
FRENTE DE TODOS,159,08,08
FRENTE DE TODOS,153,07,07
FRENTE DE TODOS,84,01,01
FRENTE DE TODOS,192,12,12
FRENTE DE TODOS,197,13,13
JUNTOS POR EL CAMBIO,201,14,14
JUNTOS POR EL CAMBIO,222,17,17
FRENTE DE TODOS,173,10,10
FRENTE DE TODOS,183,11,11
JUNTOS POR EL CAMBIO,240,19,19
CONSENSO FEDERAL,102,02,02
CONSENSO FEDERAL,148,06,06
FRENTE RENOVADOR DE LA CONCORDIA,199,14,14
JUNTOS POR EL CAMBIO,289,22,22
JUNTOS POR EL CAMBIO,177,10,10
HACEMOS POR CORDOBA,118,04,04
FRENTE DE TODOS,247,20,20
JUNTOS POR EL CAMBIO CHUBUT,156,07,07
PROTECTORA FUERZA POLITICA,195,13,13
FRENTE DE TODOS,288,22,22
FRENTE DE TODOS,211,15,15
JUNTOS POR EL CAMBIO,209,15,15
FRENTE AMPLIO FORMOSENO JUNTOS POR EL CAMBIO,169,09,09
FRENTE DE TODOS,120,04,04
JUNTOS POR EL CAMBIO,184,11,11
CONSENSO FEDERAL,86,01,01
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,119,04,04
MOVIMIENTO POPULAR NEUQUINO,207,15,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,272,21,21
JUNTOS POR EL CAMBIO,111,03,03
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,196,13,13
JUNTOS POR LA RIOJA,189,12,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,224,17,17
JUNTOS SOMOS RIO NEGRO,214,16,16
FRENTE DE TODOS,307,24,24
MOVIMIENTO POLO SOCIAL CHUBUT,152,07,07
CONSENSO FEDERAL,303,23,23
JUNTOS POR EL CAMBIO,251,20,20
JUNTOS POR EL CAMBIO,215,16,16
ENCUENTRO VECINAL CORDOBA,112,04,04
PARTIDO SOCIALISTA,204,14,14
CONSENSO FEDERAL,179,10,10
CONSENSO FEDERAL,168,09,09
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,188,12,12
CONSENSO FEDERAL,271,21,21
FUERZA REPUBLICANA,294,23,23
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO,308,24,24
VAMOS TODOS A VIVIR MEJOR,310,24,24
GEN,243,19,19
NUEVA IZQUIERDA,166,08,08
CONSENSO FEDERAL,212,15,15
CONSENSO FEDERAL,121,04,04
CONSENSO FEDERAL,109,03,03
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,100,02,02
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,217,16,16
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,246,20,20
PARTIDO SOCIALISTA,164,08,08
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,83,01,01
GEN,311,24,24
CONSENSO FEDERAL,233,18,18
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,301,23,23
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,158,07,07
PARTIDO SOCIALISTA,187,11,11
PARTIDO INDEPENDIENTE DEL CHUBUT,151,07,07
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,210,15,15
PARTIDO SOCIAL PATAGONICO,305,24,24
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,181,10,10
ACCION CHAQUENA,136,06,06
PARTIDO CONSERVADOR POPULAR,225,17,17
UNITE POR LA LIBERTAD Y LA DIGNIDAD,125,04,04
CONSENSO FEDERAL,134,05,05
COMPROMISO FEDERAL,194,12,12
FRENTE RENOVADOR AUTENTICO,245,20,20
CIUDADANOS A GOBERNAR,126,05,05
UNITE POR LA LIBERTAD Y LA DIGNIDAD,284,21,21
PARTIDO OBRERO,306,24,24
UNITE POR LA LIBERTAD Y LA DIGNIDAD,90,01,01
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,185,11,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,238,19,19
FRENTE NOS,258,21,21
AUTODETERMINACION Y LIBERTAD,80,01,01
EL MOVIMIENTO,81,01,01
MOVIMIENTO DE JUBILADOS Y JUVENTUD,82,01,01
MOVIMIENTO AL SOCIALISMO,87,01,01
DEMOCRATA CRISTIANO,88,01,01
FRENTE RENOVADOR AUTENTICO,89,01,01
PARTIDO DIGNIDAD POPULAR,91,01,01
PARTIDO HUMANISTA,92,02,02
MOVIMIENTO DE AVANZADA SOCIALISTA,93,02,02
MOVIMIENTO ORGANIZACION DEMOCRATICA,94,02,02
FRENTE PATRIOTA,95,02,02
PARTIDO REPUBLICANO FEDERAL,96,02,02
MORAL Y PROGRESO,97,02,02
PARTIDO DIGNIDAD POPULAR,99,02,02
PARTIDO RENOVADOR FEDERAL,103,02,02
FRENTE SOMOS CATAMARCA,104,03,03
PARTIDO POPULAR,105,03,03
UNION DEL CENTRO DEMOCRATICO,106,03,03
FRENTE UNIDOS POR LA GENTE,107,03,03
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,110,03,03
FRENTE DESPERTAR,114,04,04
FRENTE DESPERTAR,113,04,04
JUNTOS POR EL CAMBIO,117,04,04
JUNTOS POR EL CAMBIO,116,04,04
MOVIMIENTO AL SOCIALISMO,122,04,04
UNION POPULAR,123,04,04
MOVIMIENTO DE ACCION VECINAL,124,04,04
FRENTE DE TODOS,128,05,05
FRENTE DE TODOS,130,05,05
FRENTE DE TODOS,129,05,05
ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,133,05,05
ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,132,05,05
CONSENSO FEDERAL,135,05,05
PARTIDO CIUDADANOS A GOBERNAR,137,06,06
PARTIDO PROYECTO SUR CHACO,138,06,06
FRENTE DE TODOS,142,06,06
FRENTE DE TODOS,143,06,06
FRENTE DE TODOS,140,06,06
FRENTE DE TODOS,144,06,06
FRENTE DE TODOS,141,06,06
ALTERNATIVA RENOVADORA FEDERAL,145,06,06
JUNTOS POR EL CAMBIO,147,06,06
UNIR,149,06,06
PARTIDO DEL OBRERO,150,06,06
CHUBUT AL FRENTE,154,07,07
CHUBUT AL FRENTE,155,07,07
JUNTOS POR EL CAMBIO CHUBUT,157,07,07
JUNTOS POR EL CAMBIO,161,08,08
JUNTOS POR EL CAMBIO,162,08,08
MOVIMIENTO AL SOCIALISMO,163,08,08
PARTIDO SOCIALISTA,165,08,08
FRENTE AMPLIO FORMOSENO JUNTOS POR EL CAMBIO,171,09,09
FRENTE AMPLIO FORMOSENO JUNTOS POR EL CAMBIO,170,09,09
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,172,09,09
FRENTE DE TODOS,176,10,10
FRENTE DE TODOS,175,10,10
FRENTE DE TODOS,174,10,10
JUNTOS POR EL CAMBIO,178,10,10
CONSENSO FEDERAL,180,10,10
UNIR,182,10,10
MOVIMIENTO AL SOCIALISMO,186,11,11
FRENTE DE TODOS,190,12,12
MOVIMIENTO AL SOCIALISMO,191,12,12
UNIR,193,12,12
JUNTOS POR EL CAMBIO,203,14,14
JUNTOS POR EL CAMBIO,202,14,14
PARTIDO DEL OBRERO,205,14,14
MOVIMIENTO AL SOCIALISMO,206,15,15
MOVIMIENTO POPULAR NEUQUINO,208,15,15
MOVIMIENTO AL SOCIALISMO,213,16,16
FRENTE DE TODOS,219,17,17
FRENTE DE TODOS,220,17,17
JUNTOS POR EL CAMBIO,223,17,17
PARTIDO DIGNIDAD CIUDADANA,226,18,18
NUEVA DIRIGENCIA,227,18,18
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,229,18,18
JUNTOS POR EL CAMBIO,231,18,18
JUNTOS POR EL CAMBIO,232,18,18
CONSENSO FEDERAL,234,18,18
CONSENSO FEDERAL,235,18,18
CONSENSO FEDERAL,236,19,19
MOVIMIENTO AL SOCIALISMO,237,19,19
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,239,19,19
JUNTOS POR EL CAMBIO,241,19,19
MOVIMIENTO AL SOCIALISMO,244,20,20
FRENTE DE TODOS,248,20,20
FRENTE DE TODOS,249,20,20
FRENTE DE TODOS,250,20,20
JUNTOS POR EL CAMBIO,253,20,20
JUNTOS POR EL CAMBIO,252,20,20
JUNTOS POR EL CAMBIO,254,20,20
JUNTOS POR EL CAMBIO,255,20,20
JUNTOS POR EL CAMBIO,256,20,20
MOVIMIENTO AL SOCIALISMO,257,21,21
MOVIMIENTO INDEPENDIENTE RENOVADOR,259,21,21
PARTIDO POPULAR,260,21,21
FRENTE NOS,264,21,21
FRENTE NOS,270,21,21
FRENTE NOS,265,21,21
FRENTE NOS,261,21,21
FRENTE NOS,266,21,21
FRENTE NOS,269,21,21
FRENTE NOS,263,21,21
FRENTE NOS,262,21,21
FRENTE NOS,267,21,21
FRENTE NOS,268,21,21
JUNTOS POR EL CAMBIO,274,21,21
FRENTE DE TODOS,276,21,21
ALTERNATIVA FEDERAL,277,21,21
PARTIDO AUTONOMISTA,281,21,21
PARTIDO AUTONOMISTA,280,21,21
PARTIDO AUTONOMISTA,278,21,21
PARTIDO AUTONOMISTA,282,21,21
PARTIDO AUTONOMISTA,279,21,21
UNION CELESTE Y BLANCA,283,21,21
PARTIDO POPULAR,285,22,22
PARTIDO DIGNIDAD POPULAR,286,22,22
JUNTOS POR EL CAMBIO,290,22,22
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,291,22,22
UNITE POR LA LIBERTAD Y LA DIGNIDAD,293,22,22
FRENTE DE TODOS,297,23,23
FRENTE DE TODOS,296,23,23
JUNTOS POR EL CAMBIO,299,23,23
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,300,23,23
CONSENSO FEDERAL,304,23,23
CONSENSO FEDERAL,302,23,23
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO,309,24,24
