parDenominacion,vot_parCodigo,vot_proCodigoProvincia
FRENTE DE TODOS,01040,09
FRENTE DE TODOS,01156,23
FRENTE DE TODOS,00964,02
FRENTE CIVICO POR SANTIAGO,01150,22
FRENTE DE TODOS,01099,18
FRENTE DE TODOS,01103,19
FRENTE DE TODOS,01120,21
FRENTE DE TODOS,01090,17
FRENTE DE TODOS,00980,03
JUNTOS POR EL CAMBIO,00963,02
FRENTE DE TODOS,01082,16
JUNTOS POR EL CAMBIO,00961,01
FRENTE DE TODOS,01014,06
FRENTE DE TODOS,01157,23
FRENTE DE TODOS,01002,05
JUNTOS POR EL CAMBIO,00994,04
FRENTE DE TODOS,01035,08
CAMBIA MENDOZA,01064,13
FRENTE DE TODOS,01062,13
FRENTE DE TODOS,01055,12
CONSENSO FEDERAL,01152,23
CONSENSO FEDERAL,00970,02
CONSENSO FEDERAL,01130,21
MOVIMIENTO ORGANIZACION DEMOCRATICA,00973,02
JUNTOS POR EL CAMBIO,01032,08
FRENTE DE TODOS,01065,14
PARTIDO DIGNIDAD POPULAR,01143,22
JUNTOS POR EL CAMBIO,01118,21
FRENTE DE TODOS,00999,05
FRENTE DE TODOS,01022,07
FRENTE PATRIOTA,00967,02
CONSENSO FEDERAL,01042,09
UNION POR SALTA,01084,17
FRENTE DE TODOS,01000,05
FRENTE RENOVADOR DE LA CONCORDIA,01070,14
FRENTE DE TODOS,01050,11
FRENTE DE TODOS,00956,01
FRENTE DE TODOS,01012,06
FRENTE DE TODOS,01088,17
FRENTE DE TODOS,01076,15
FRENTE UNIDOS POR LA GENTE,00981,03
UNION DEL CENTRO DEMOCRATICO,00979,03
JUNTOS POR EL CAMBIO,01093,18
HACEMOS POR CORDOBA,00986,04
JUNTOS POR LA RIOJA,01058,12
JUNTOS POR EL CAMBIO,01119,21
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,01041,09
FRENTE DE TODOS,01151,22
FRENTE DE TODOS,01047,10
JUNTOS POR EL CAMBIO,01007,06
FRENTE DE TODOS,00995,04
JUNTOS POR EL CAMBIO,01078,15
MOVIMIENTO POPULAR NEUQUINO,01073,15
JUNTOS POR EL CAMBIO,01043,10
JUNTOS POR EL CAMBIO,01086,17
JUNTOS POR EL CAMBIO,01051,11
JUNTOS POR EL CAMBIO,00976,03
PARTIDO CIUDADANOS A GOBERNAR,01017,06
JUNTOS POR EL CAMBIO,01159,23
CONSERVADOR POPULAR,01091,17
FRENTE DE TODOS,01160,24
FRENTE DE TODOS,01001,05
JUNTOS POR EL CAMBIO,01023,07
CONSENSO FEDERAL,01072,15
JUNTOS POR EL CAMBIO,01101,19
PARTIDO SOCIALISTA,01031,08
FRENTE SOMOS CATAMARCA,00977,03
CHUBUT AL FRENTE,01027,07
UNION CELESTE Y BLANCA,01141,21
JUNTOS POR EL CAMBIO,01033,08
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00969,02
JUNTOS POR EL CAMBIO,01034,08
