parDenominacion,vot_parCodigo,vot_proCodigoProvincia
FRENTE DE TODOS,6,22
FRENTE DE TODOS,6,23
FRENTE DE TODOS,6,02
JUNTOS POR EL CAMBIO,5,04
FRENTE DE TODOS,6,17
FRENTE DE TODOS,6,18
FRENTE DE TODOS,6,14
FRENTE DE TODOS,6,05
JUNTOS POR EL CAMBIO,5,01
FRENTE DE TODOS,6,15
FRENTE DE TODOS,6,09
FRENTE DE TODOS,6,19
FRENTE DE TODOS,6,16
FRENTE DE TODOS,6,08
FRENTE DE TODOS,6,03
JUNTOS POR EL CAMBIO,5,13
FRENTE DE TODOS,6,21
JUNTOS POR EL CAMBIO,5,02
JUNTOS POR EL CAMBIO,5,21
JUNTOS POR EL CAMBIO,5,23
JUNTOS POR EL CAMBIO,5,05
JUNTOS POR EL CAMBIO,5,18
FRENTE DE TODOS,6,06
JUNTOS POR EL CAMBIO,5,22
JUNTOS POR EL CAMBIO,5,06
FRENTE DE TODOS,6,01
FRENTE DE TODOS,6,07
JUNTOS POR EL CAMBIO,5,08
CONSENSO FEDERAL,7,17
JUNTOS POR EL CAMBIO,5,17
FRENTE DE TODOS,6,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,05
JUNTOS POR EL CAMBIO,5,14
FRENTE DE TODOS,6,10
FRENTE DE TODOS,6,13
FRENTE DE TODOS,6,04
CONSENSO FEDERAL,7,02
JUNTOS POR EL CAMBIO,5,15
JUNTOS POR EL CAMBIO,5,12
JUNTOS POR EL CAMBIO,5,19
FRENTE DE TODOS,6,11
CONSENSO FEDERAL,7,06
JUNTOS POR EL CAMBIO,5,10
FRENTE DE TODOS,6,24
FRENTE DE TODOS,6,20
JUNTOS POR EL CAMBIO,5,16
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,04
JUNTOS POR EL CAMBIO,5,07
FRENTE NOS,2,22
JUNTOS POR EL CAMBIO,5,03
CONSENSO FEDERAL,7,01
CONSENSO FEDERAL,7,13
JUNTOS POR EL CAMBIO,5,11
CONSENSO FEDERAL,7,23
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,21
JUNTOS POR EL CAMBIO,5,09
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,02
FRENTE NOS,2,09
JUNTOS POR EL CAMBIO,5,20
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,09
JUNTOS POR EL CAMBIO,5,24
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,04
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,17
CONSENSO FEDERAL,7,04
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,17
