parDenominacion,vot_parCodigo,vot_proCodigoProvincia
FRENTE DE TODOS,00900,06
FRENTE DE TODOS,00900,09
FRENTE DE TODOS,00900,23
FRENTE DE TODOS,00900,22
FRENTE DE TODOS,00900,02
FRENTE DE TODOS,00900,18
FRENTE DE TODOS,00900,19
FRENTE DE TODOS,00900,14
JUNTOS POR EL CAMBIO,00897,04
FRENTE DE TODOS,00900,17
FRENTE DE TODOS,00900,21
FRENTE DE TODOS,00900,16
FRENTE DE TODOS,00900,05
CONSENSO FEDERAL,00904,23
FRENTE DE TODOS,00900,15
FRENTE DE TODOS,00900,03
CONSENSO FEDERAL,00904,22
JUNTOS POR EL CAMBIO,00897,01
JUNTOS POR EL CAMBIO,00897,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,22
FRENTE DE TODOS,00900,01
JUNTOS POR EL CAMBIO,00897,02
FRENTE DE TODOS,00900,13
CONSENSO FEDERAL,00904,02
FRENTE DE TODOS,00900,08
CONSENSO FEDERAL,00904,14
FRENTE DE TODOS,00900,07
CONSENSO FEDERAL,00904,16
JUNTOS POR EL CAMBIO,00897,13
FRENTE DE TODOS,00900,12
CONSENSO FEDERAL,00904,21
JUNTOS POR EL CAMBIO,00897,21
FRENTE DE TODOS,00900,04
JUNTOS POR EL CAMBIO,00897,05
JUNTOS POR EL CAMBIO,00897,23
FRENTE PATRIOTA,00902,02
CONSENSO FEDERAL,00904,15
JUNTOS POR EL CAMBIO,00897,08
CONSENSO FEDERAL,00904,17
FRENTE DE TODOS,00900,10
FRENTE DE TODOS,00900,24
FRENTE DE TODOS,00900,11
JUNTOS POR EL CAMBIO,00897,18
JUNTOS POR EL CAMBIO,00897,22
FRENTE DE TODOS,00900,20
CONSENSO FEDERAL,00904,07
FRENTE PATRIOTA,00902,09
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,04
JUNTOS POR EL CAMBIO,00897,06
JUNTOS POR EL CAMBIO,00897,17
JUNTOS POR EL CAMBIO,00897,15
JUNTOS POR EL CAMBIO,00897,19
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,06
JUNTOS POR EL CAMBIO,00897,10
JUNTOS POR EL CAMBIO,00897,12
JUNTOS POR EL CAMBIO,00897,07
FRENTE NOS,00898,21
CONSENSO FEDERAL,00904,06
JUNTOS POR EL CAMBIO,00897,03
JUNTOS POR EL CAMBIO,00897,11
FRENTE NOS,00898,17
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,07
FRENTE NOS,00898,06
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,02
CONSENSO FEDERAL,00904,05
CONSENSO FEDERAL,00904,08
MOVIMIENTO DE ACCION VECINAL,00906,14
JUNTOS POR EL CAMBIO,00897,16
CONSENSO FEDERAL,00904,03
JUNTOS POR EL CAMBIO,00897,09
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,13
JUNTOS POR EL CAMBIO,00897,24
FRENTE PATRIOTA,00902,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,21
MOVIMIENTO AL SOCIALISMO,00899,04
JUNTOS POR EL CAMBIO,00897,20
FRENTE PATRIOTA,00902,21
CONSENSO FEDERAL,00904,01
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,03
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,05
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,14
FRENTE PATRIOTA,00902,13
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,05
CONSENSO FEDERAL,00904,18
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,02
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,04
CONSENSO FEDERAL,00904,04
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,15
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,17
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,21
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,17
CONSENSO FEDERAL,00904,11
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,20
CONSENSO FEDERAL,00904,09
FRENTE NOS,00898,02
CONSENSO FEDERAL,00904,13
CONSENSO FEDERAL,00904,10
FRENTE NOS,00898,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,01
MOVIMIENTO DE ACCION VECINAL,00906,19
MOVIMIENTO AL SOCIALISMO,00899,17
PARTIDO AUTONOMISTA,00901,02
MOVIMIENTO AL SOCIALISMO,00899,02
FRENTE NOS,00898,14
MOVIMIENTO DE ACCION VECINAL,00906,18
MOVIMIENTO AL SOCIALISMO,00899,21
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,11
MOVIMIENTO DE ACCION VECINAL,00906,02
MOVIMIENTO DE ACCION VECINAL,00906,04
MOVIMIENTO DE ACCION VECINAL,00906,06
MOVIMIENTO AL SOCIALISMO,00899,14
FRENTE NOS,00898,23
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,19
FRENTE NOS,00898,22
FRENTE PATRIOTA,00902,06
MOVIMIENTO DE ACCION VECINAL,00906,08
FRENTE NOS,00898,07
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,24
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,12
FRENTE NOS,00898,13
CONSENSO FEDERAL,00904,19
CONSENSO FEDERAL,00904,20
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,12
FRENTE NOS,00898,16
FRENTE PATRIOTA,00902,17
CONSENSO FEDERAL,00904,12
FRENTE NOS,00898,05
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,06
FRENTE NOS,00898,10
PARTIDO AUTONOMISTA,00901,01
FRENTE NOS,00898,04
PARTIDO AUTONOMISTA,00901,04
PARTIDO AUTONOMISTA,00901,05
PARTIDO AUTONOMISTA,00901,07
PARTIDO AUTONOMISTA,00901,08
FRENTE NOS,00898,11
PARTIDO AUTONOMISTA,00901,17
FRENTE NOS,00898,09
FRENTE NOS,00898,08
CONSENSO FEDERAL,00904,24
FRENTE PATRIOTA,00902,19
FRENTE NOS,00898,03
FRENTE NOS,00898,24
FRENTE NOS,00898,18
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,20
FRENTE NOS,00898,19
FRENTE PATRIOTA,00902,22
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,16
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,24
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,07
MOVIMIENTO AL SOCIALISMO,00899,08
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,10
MOVIMIENTO AL SOCIALISMO,00899,19
FRENTE NOS,00898,20
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,01
FRENTE PATRIOTA,00902,04
FRENTE PATRIOTA,00902,10
FRENTE PATRIOTA,00902,23
