parDenominacion,vot_parCodigo,vot_proCodigoProvincia
FRENTE CIVICO POR SANTIAGO,00065,22
JUNTOS POR EL CAMBIO,00016,01
FRENTE DE TODOS,00026,06
FRENTE DE TODOS,00056,17
JUNTOS POR EL CAMBIO,00032,06
JUNTOS POR EL CAMBIO,00038,08
MOVIMIENTO LIBRES DEL SUR,00070,22
UNION POR SALTA,00058,17
FRENTE DE TODOS,00037,08
FRENTE DE TODOS,00054,16
FRENTE DE TODOS,00015,01
JUNTOS POR EL CAMBIO,00059,17
CONSENSO FEDERAL,00034,06
JUNTOS POR EL CAMBIO,00067,22
FRENTE DE TODOS,00066,22
JUNTOS POR EL CAMBIO,00048,15
FRENTE DE TODOS,00050,15
JUNTOS SOMOS RIO NEGRO,00053,16
CONSENSO FEDERAL,00017,01
MOVIMIENTO POPULAR NEUQUINO,00046,15
FRENTE DE TODOS,00074,24
CONSENSO FEDERAL,00051,15
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO,00075,24
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00061,17
NUEVA IZQUIERDA,00044,08
VAMOS TODOS A VIVIR MEJOR,00078,24
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00021,01
GEN,00079,24
PARTIDO SOCIAL PATAGONICO,00072,24
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00055,16
PARTIDO SOCIALISTA,00042,08
PARTIDO OBRERO,00073,24
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00049,15
ACCION CHAQUENA,00023,06
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00014,01
PARTIDO CONSERVADOR POPULAR,00062,17
AUTODETERMINACION Y LIBERTAD,00011,01
EL MOVIMIENTO,00012,01
MOVIMIENTO DE JUBILADOS Y JUVENTUD,00013,01
MOVIMIENTO AL SOCIALISMO,00018,01
DEMOCRATA CRISTIANO,00019,01
FRENTE RENOVADOR AUTENTICO,00020,01
PARTIDO DIGNIDAD POPULAR,00022,01
PARTIDO CIUDADANOS A GOBERNAR,00024,06
PARTIDO PROYECTO SUR CHACO,00025,06
FRENTE DE TODOS,00030,06
FRENTE DE TODOS,00027,06
FRENTE DE TODOS,00029,06
FRENTE DE TODOS,00028,06
ALTERNATIVA RENOVADORA FEDERAL,00031,06
JUNTOS POR EL CAMBIO,00033,06
UNIR,00035,06
PARTIDO DEL OBRERO,00036,06
JUNTOS POR EL CAMBIO,00040,08
JUNTOS POR EL CAMBIO,00039,08
MOVIMIENTO AL SOCIALISMO,00041,08
PARTIDO SOCIALISTA,00043,08
MOVIMIENTO AL SOCIALISMO,00045,15
MOVIMIENTO POPULAR NEUQUINO,00047,15
MOVIMIENTO AL SOCIALISMO,00052,16
FRENTE DE TODOS,00057,17
JUNTOS POR EL CAMBIO,00060,17
PARTIDO POPULAR,00063,22
PARTIDO DIGNIDAD POPULAR,00064,22
JUNTOS POR EL CAMBIO,00068,22
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,00069,22
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00071,22
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO,00077,24
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO,00076,24
