parDenominacion,vot_parCodigo,vot_proCodigoProvincia
FRENTE CIVICO POR SANTIAGO,1337,22
FRENTE DE TODOS,1327,17
JUNTOS POR EL CAMBIO,1290,01
FRENTE DE TODOS,1296,06
FRENTE DE TODOS,1323,16
FRENTE DE TODOS,1311,08
JUNTOS POR EL CAMBIO,1325,17
PARTIDO DIGNIDAD POPULAR,1330,22
UNION POR SALTA,1324,17
FRENTE DE TODOS,1285,01
FRENTE DE TODOS,1297,06
JUNTOS POR EL CAMBIO,1308,08
FRENTE DE TODOS,1317,15
FRENTE DE TODOS,1338,22
JUNTOS POR EL CAMBIO,1319,15
JUNTOS POR EL CAMBIO,1292,06
MOVIMIENTO POPULAR NEUQUINO,1314,15
FRENTE DE TODOS,1339,24
JUNTOS SOMOS RIO NEGRO,1320,16
PARTIDO CIUDADANOS A GOBERNAR,1301,06
CONSERVADOR POPULAR,1329,17
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1289,01
CONSENSO FEDERAL,1313,15
FRENTE DE TODOS,1328,17
PARTIDO SOCIALISTA,1307,08
JUNTOS POR EL CAMBIO,1310,08
JUNTOS POR EL CAMBIO,1309,08
PARTIDO PROYECTO SUR CHACO,1302,06
FRENTE DE TODOS,1295,06
JUNTOS POR EL CAMBIO,1332,22
JUNTOS POR EL CAMBIO,1333,22
FRENTE DE TODOS,1298,06
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1321,16
CONSENSO FEDERAL,1280,01
PARTIDO DEL OBRERO,1304,06
ALTERNATIVA RENOVADORA FEDERAL,1299,06
GEN,1346,24
JUNTOS POR EL CAMBIO,1293,06
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1326,17
JUNTOS POR EL CAMBIO,1342,24
VAMOS TODOS A VIVIR MEJOR,1341,24
PARTIDO SOCIALISTA,1306,08
ACCION CHAQUEÑA,1294,06
MOVIMIENTO POPULAR NEUQUINO,1315,15
UNITE POR LA LIBERTAD Y LA DIGNIDAD,1284,01
CONSENSO FEDERAL,1300,06
MOVIMIENTO LIBRES DEL SUR,1331,22
AUTODETERMINACION Y LIBERTAD,1288,01
PARTIDO POPULAR,1334,22
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1318,15
PARTIDO SOCIAL PATAGONICO,1345,24
DEMOCRATA CRISTIANO,1283,01
NUEVA IZQUIERDA,1312,08
PARTIDO OBRERO,1340,24
MOVIMIENTO AL SOCIALISMO,1281,01
UNITE POR LA LIBERTAD Y LA DIGNIDAD,1336,22
MOVIMIENTO AL SOCIALISMO,1322,16
JUNTOS POR EL CAMBIO,1343,24
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,1335,22
JUNTOS POR EL CAMBIO,1344,24
UNIR,1303,06
MOVIMIENTO AL SOCIALISMO,1305,08
MOVIMIENTO AL SOCIALISMO,1316,15
FRENTE RENOVADOR AUTENTICO,1291,01
MOVIMIENTO DE JUBILADOS Y JUVENTUD,1286,01
EL MOVIMIENTO,1282,01
PARTIDO DIGNIDAD POPULAR,1287,01
