word,presidente,year
mensaje,miguel_juarez_celman,1890
anterior,miguel_juarez_celman,1890
lamentaba,miguel_juarez_celman,1890
existencia,miguel_juarez_celman,1890
partido,miguel_juarez_celman,1890
político,miguel_juarez_celman,1890
organizado,miguel_juarez_celman,1890
acción,miguel_juarez_celman,1890
señalando,miguel_juarez_celman,1890
hecho,miguel_juarez_celman,1890
inconveniente,miguel_juarez_celman,1890
gobierno,miguel_juarez_celman,1890
democrático,miguel_juarez_celman,1890
indispensable,miguel_juarez_celman,1890
lucha,miguel_juarez_celman,1890
choque,miguel_juarez_celman,1890
opiniones,miguel_juarez_celman,1890
actividad,miguel_juarez_celman,1890
vida,miguel_juarez_celman,1890
republicana,miguel_juarez_celman,1890
satisfacción,miguel_juarez_celman,1890
anunciaros,miguel_juarez_celman,1890
orden,miguel_juarez_celman,1890
político,miguel_juarez_celman,1890
mejorado,miguel_juarez_celman,1890
hecho,miguel_juarez_celman,1890
plausible,miguel_juarez_celman,1890
nuevo,miguel_juarez_celman,1890
partido,miguel_juarez_celman,1890
formación,miguel_juarez_celman,1890
levanta,miguel_juarez_celman,1890
programa,miguel_juarez_celman,1890
oposición,miguel_juarez_celman,1890
gobierno,miguel_juarez_celman,1890
podemos,miguel_juarez_celman,1890
saludarle,miguel_juarez_celman,1890
bienvenido,miguel_juarez_celman,1890
esperando,miguel_juarez_celman,1890
calmadas,miguel_juarez_celman,1890
exageraciones,miguel_juarez_celman,1890
momento,miguel_juarez_celman,1890
acción,miguel_juarez_celman,1890
contribuir,miguel_juarez_celman,1890
mejor,miguel_juarez_celman,1890
gobierno,miguel_juarez_celman,1890
nación,miguel_juarez_celman,1890
