word,presidente,year
debido,roque_saenz_penia,1915
enfermedad,roque_saenz_penia,1915
excelent,roque_saenz_penia,1915
simo,roque_saenz_penia,1915
señor,roque_saenz_penia,1915
presidente,roque_saenz_penia,1915
lr,roque_saenz_penia,1915
nación,roque_saenz_penia,1915
qu,roque_saenz_penia,1915
impide,roque_saenz_penia,1915
hacerse,roque_saenz_penia,1915
caryo,roque_saenz_penia,1915
gobier,roque_saenz_penia,1915
cábeme,roque_saenz_penia,1915
alto,roque_saenz_penia,1915
honor,roque_saenz_penia,1915
venir,roque_saenz_penia,1915
pos,roque_saenz_penia,1915
cuenta,roque_saenz_penia,1915
asuntos,roque_saenz_penia,1915
inaugurar,roque_saenz_penia,1915
quincuagésimo,roque_saenz_penia,1915
tercer,roque_saenz_penia,1915
perío,roque_saenz_penia,1915
do,roque_saenz_penia,1915
sesiones,roque_saenz_penia,1915
crdinearias,roque_saenz_penia,1915
ajeno,roque_saenz_penia,1915
misión,roque_saenz_penia,1915
trazar,roque_saenz_penia,1915
planes,roque_saenz_penia,1915
dc,roque_saenz_penia,1915
gobierno,roque_saenz_penia,1915
actúo,roque_saenz_penia,1915
sustitución,roque_saenz_penia,1915
señor,roque_saenz_penia,1915
presidente,roque_saenz_penia,1915
considero,roque_saenz_penia,1915
debo,roque_saenz_penia,1915
ajustar,roque_saenz_penia,1915
conducta,roque_saenz_penia,1915
ea,roque_saenz_penia,1915
posible,roque_saenz_penia,1915
programa,roque_saenz_penia,1915
formulado,roque_saenz_penia,1915
compláceme,roque_saenz_penia,1915
luego,roque_saenz_penia,1915
manifestaos,roque_saenz_penia,1915
situación,roque_saenz_penia,1915
completamente,roque_saenz_penia,1915
despejada,roque_saenz_penia,1915
relaciona,roque_saenz_penia,1915
com,roque_saenz_penia,1915
política,roque_saenz_penia,1915
interior,roque_saenz_penia,1915
exterior,roque_saenz_penia,1915
fortuna,roque_saenz_penia,1915
sombra,roque_saenz_penia,1915
intranquilidad,roque_saenz_penia,1915
desconcierto,roque_saenz_penia,1915
obscurece,roque_saenz_penia,1915
punto,roque_saenz_penia,1915
dilatado,roque_saenz_penia,1915
territorio,roque_saenz_penia,1915
gravitación,roque_saenz_penia,1915
ejerce,roque_saenz_penia,1915
conducta,roque_saenz_penia,1915
circunspecta,roque_saenz_penia,1915
poder,roque_saenz_penia,1915
nacional,roque_saenz_penia,1915
marcha,roque_saenz_penia,1915
política,roque_saenz_penia,1915
administrativa,roque_saenz_penia,1915
provincias,roque_saenz_penia,1915
deja,roque_saenz_penia,1915
sentir,roque_saenz_penia,1915
manera,roque_saenz_penia,1915
satisfactoria,roque_saenz_penia,1915
forma,roque_saenz_penia,1915
moderada,roque_saenz_penia,1915
respectivamente,roque_saenz_penia,1915
respondien,roque_saenz_penia,1915
do,roque_saenz_penia,1915
influencia,roque_saenz_penia,1915
demuestra,roque_saenz_penia,1915
instituciones,roque_saenz_penia,1915
asumen,roque_saenz_penia,1915
imperio,roque_saenz_penia,1915
costumbres,roque_saenz_penia,1915
ne,roque_saenz_penia,1915
predominan,roque_saenz_penia,1915
cn,roque_saenz_penia,1915
éstas,roque_saenz_penia,1915
cultura,roque_saenz_penia,1915
razón,roque_saenz_penia,1915
públicas,roque_saenz_penia,1915
podido,roque_saenz_penia,1915
entero,roque_saenz_penia,1915
contemplar,roque_saenz_penia,1915
entusiasmo,roque_saenz_penia,1915
orden,roque_saenz_penia,1915
solicitud,roque_saenz_penia,1915
patriotismo,roque_saenz_penia,1915
concurrido,roque_saenz_penia,1915
ciudadanos,roque_saenz_penia,1915
cumplir,roque_saenz_penia,1915
deberes,roque_saenz_penia,1915
cívicos,roque_saenz_penia,1915
bajo,roque_saenz_penia,1915
régimen,roque_saenz_penia,1915
ley,roque_saenz_penia,1915
electoral,roque_saenz_penia,1915
cómo,roque_saenz_penia,1915
salido,roque_saenz_penia,1915
triunfante,roque_saenz_penia,1915
principio,roque_saenz_penia,1915
democrático,roque_saenz_penia,1915
impone,roque_saenz_penia,1915
velar,roque_saenz_penia,1915
iutereses,roque_saenz_penia,1915
comunidad,roque_saenz_penia,1915
manifestación,roque_saenz_penia,1915
civismo,roque_saenz_penia,1915
acabo,roque_saenz_penia,1915
referirme,roque_saenz_penia,1915
motivado,roque_saenz_penia,1915
legítim,roque_saenz_penia,1915
satisíacción,roque_saenz_penia,1915
concepto,roque_saenz_penia,1915
público,roque_saenz_penia,1915
propia,roque_saenz_penia,1915
magnitud,roque_saenz_penia,1915
ia,roque_saenz_penia,1915
posible,roque_saenz_penia,1915
trascendencia,roque_saenz_penia,1915
efectos,roque_saenz_penia,1915
sconseja,roque_saenz_penia,1915
volver,roque_saenz_penia,1915
ojos,roque_saenz_penia,1915
acto,roque_saenz_penia,1915
electoral,roque_saenz_penia,1915
establecer,roque_saenz_penia,1915
actuado,roque_saenz_penia,1915
elementos,roque_saenz_penia,1915
opinión,roque_saenz_penia,1915
divididas,roque_saenz_penia,1915
agrupaciones,roque_saenz_penia,1915
políticas,roque_saenz_penia,1915
sta,roque_saenz_penia,1915
observación,roque_saenz_penia,1915
pertinente,roque_saenz_penia,1915
tiens,roque_saenz_penia,1915
sn,roque_saenz_penia,1915
vista,roque_saenz_penia,1915
condiciones,roque_saenz_penia,1915
ley,roque_saenz_penia,1915
lectoral,roque_saenz_penia,1915
pasado,roque_saenz_penia,1915
segunda,roque_saenz_penia,1915
prueba,roque_saenz_penia,1915
mecánicamente,roque_saenz_penia,1915
pruej2,roque_saenz_penia,1915
éxito,roque_saenz_penia,1915
eficiencia,roque_saenz_penia,1915
trata,roque_saenz_penia,1915
múltiples,roque_saenz_penia,1915
resortes,roque_saenz_penia,1915
ey,roque_saenz_penia,1915
actúan,roque_saenz_penia,1915
igual,roque_saenz_penia,1915
eficacia,roque_saenz_penia,1915
responden,roque_saenz_penia,1915
primordiales,roque_saenz_penia,1915
propósitos,roque_saenz_penia,1915
tuieron,roque_saenz_penia,1915
dictarla,roque_saenz_penia,1915
indiferencia,roque_saenz_penia,1915
desaliento,roque_saenz_penia,1915
públicos,roque_saenz_penia,1915
abían,roque_saenz_penia,1915
descendido,roque_saenz_penia,1915
nivel,roque_saenz_penia,1915
alarmante,roque_saenz_penia,1915
ajo,roque_saenz_penia,1915
preocupación,roque_saenz_penia,1915
actos,roque_saenz_penia,1915
lectorales,roque_saenz_penia,1915
rodeados,roque_saenz_penia,1915
oren,roque_saenz_penia,1915
libertad,roque_saenz_penia,1915
honestidad,roque_saenz_penia,1915
ciudadanos,roque_saenz_penia,1915
desentendíanse,roque_saenz_penia,1915
deberes,roque_saenz_penia,1915
resultado,roque_saenz_penia,1915
elecciones,roque_saenz_penia,1915
quedaba,roque_saenz_penia,1915
librado,roque_saenz_penia,1915
completo,roque_saenz_penia,1915
acción,roque_saenz_penia,1915
unilateral,roque_saenz_penia,1915
prevalencia,roque_saenz_penia,1915
consiguiente,roque_saenz_penia,1915
agrupaciones,roque_saenz_penia,1915
cercanas,roque_saenz_penia,1915
poder,roque_saenz_penia,1915
faliando,roque_saenz_penia,1915
base,roque_saenz_penia,1915
forma,roque_saenz_penia,1915
representativa,roque_saenz_penia,1915
republicana,roque_saenz_penia,1915
gobierno,roque_saenz_penia,1915
agrégase,roque_saenz_penia,1915
adversarios,roque_saenz_penia,1915
situación,roque_saenz_penia,1915
trataban,roque_saenz_penia,1915
conlrarrestar,roque_saenz_penia,1915
barreras,roque_saenz_penia,1915
oponían,roque_saenz_penia,1915
acceso,roque_saenz_penia,1915
urnas,roque_saenz_penia,1915
congslomerando,roque_saenz_penia,1915
granles,roque_saenz_penia,1915
poderosas,roque_saenz_penia,1915
multitudes,roque_saenz_penia,1915
lucha,roque_saenz_penia,1915
crecieron,roque_saenz_penia,1915
gradualmente,roque_saenz_penia,1915
vicios,roque_saenz_penia,1915
cotrupción,roque_saenz_penia,1915
venalidad,roque_saenz_penia,1915
fraudes,roque_saenz_penia,1915
menos,roque_saenz_penia,1915
condenables,roque_saenz_penia,1915
freno,roque_saenz_penia,1915
ramiento,roque_saenz_penia,1915
ponfan,roque_saenz_penia,1915
pública,roque_saenz_penia,1915
extibición,roque_saenz_penia,1915
contiendas,roque_saenz_penia,1915
electorales,roque_saenz_penia,1915
necesario,roque_saenz_penia,1915
robustecer,roque_saenz_penia,1915
poder,roque_saenz_penia,1915
acción,roque_saenz_penia,1915
pública,roque_saenz_penia,1915
penar,roque_saenz_penia,1915
supri,roque_saenz_penia,1915
mir,roque_saenz_penia,1915
corrupción,roque_saenz_penia,1915
levantar,roque_saenz_penia,1915
